FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		
m70108c1r7.htb	    0.0	  15.00	  0.000	  20.00	 -15.00	  40.00	   7.86	  0.232	  10.21	   2.08	 342.09	  17.91	  17.91	  42.39	  0.469	 0.05482386	  0.221	 0.20190250	  0.022	 0.06001347	 0.3005	  0.477	  0.76354	 0.94326767	
m70110c1r7.htb	    0.0	  20.00	  0.000	 -10.00	  -5.00	  40.00	   1.14	  0.386	   0.71	   0.48	  35.63	  35.63	  35.63	 100.02	  8.816	 0.32683968	  0.462	 0.04410873	  0.029	 0.03113299	 0.2253	  0.507	  0.14055	 0.99764325	
m70110c2r7.htb	    0.0	  20.00	  0.000	  10.00	 -15.00	  40.00	   2.64	  0.452	   3.05	   0.92	  82.06	  82.06	  82.06	  54.89	  0.692	 0.90054620	  0.311	 0.11859233	  0.012	 0.34059051	 0.2484	  0.814	  0.59341	 0.96379327	
m70110c3r7.htb	    0.0	  20.00	  0.000	  10.00	 -15.00	  40.00	   1.94	  0.573	   2.85	   2.65	  51.26	  51.26	  51.26	  42.39	  0.745	 0.07236600	  0.576	 0.01770560	  0.101	 0.00415863	 0.3685	  0.711	  0.50481	 0.97303091	
m70111c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  50.00	   1.99	  0.293	   3.10	   1.26	 151.33	 151.33	  28.67	  42.39	  0.531	 0.80845502	  0.548	 0.02250333	  0.027	 0.14659424	 0.2605	  0.465	  0.14283	 0.99756804	
m70112c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  50.00	   3.78	  0.349	   4.18	   1.45	 232.65	 127.35	  52.65	  42.39	  0.784	 0.17466908	  0.659	 0.00786019	  0.043	 0.00871952	 0.3112	  0.506	  0.19875	 0.99537758	
m70116c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   1.92	  0.252	   3.88	   2.09	 311.44	  48.56	  48.56	  42.39	  0.515	 0.87150410	  0.555	 0.02117681	  0.011	 0.18518699	 0.2044	  1.221	  0.09065	 0.99900331	
m70117c1r7.htb	    0.0	  20.00	  0.000	  15.00	  -5.00	  40.00	   3.06	  0.270	   2.99	   2.28	   5.50	   5.50	   5.50	 332.52	  1.033	 0.37595356	  0.484	 0.03745543	  0.044	 0.00781331	 0.2159	  0.626	  0.01732	 0.99996273	
m70117c2r7.htb	    0.0	  20.00	  0.000	  20.00	 -10.00	  50.00	   6.80	  0.249	   6.03	   1.67	  12.56	  12.56	  12.56	  42.39	  1.860	 0.44391060	  0.500	 0.03302049	  0.035	 0.04586938	 0.2784	  0.476	  0.19995	 0.99532342	
m70117c3r7.htb	    0.0	  20.00	  0.000	  20.00	 -20.00	  50.00	  21.06	  0.095	  21.30	   1.54	 137.86	 137.86	  42.14	  42.39	  0.865	 0.99220491	  0.477	 0.03941446	  0.017	 0.41789028	 0.2058	  0.439	  0.16410	 0.99681258	
m70118c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   1.24	  0.643	   1.99	   2.79	   8.62	   8.62	   8.62	  42.39	  0.790	 0.07672778	  0.723	 0.00366433	  0.121	 0.00157638	 0.3979	  0.781	  0.62344	 0.96042391	
m70118c2r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	 120.00	   3.57	  0.294	   3.12	   1.11	  45.52	  45.52	  45.52	  42.39	  1.683	 0.67936884	  0.677	 0.00643634	  0.023	 0.06819796	 0.2345	  0.626	  0.21965	 0.99439323	
m70122c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	 100.00	   3.38	  0.188	   3.97	   0.44	  83.62	  83.62	  83.62	  42.39	  0.429	 0.82986849	  0.299	 0.12799315	  0.007	 0.30828803	 0.1663	  0.467	  0.10809	 0.99859122	
m70123c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	 120.00	   1.14	  0.333	   0.78	   0.00	 174.84	 174.84	   5.16	  42.39	 -0.005	 0.95606098	  0.033	 0.63996288	  0.000	 0.84223469	 0.1146	  0.692	  0.05505	 0.99962807	
m70123c2r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	 120.00	   5.14	  0.310	   5.39	   2.22	 240.25	 119.75	  60.25	  42.39	  0.900	 0.76661442	  0.460	 0.04448782	  0.016	 0.17088040	 0.2661	  0.783	  0.22250	 0.99425225	
m70123c3r7.htb	    0.0	  40.00	  0.000	   0.00	   0.00	 120.00	   8.01	  0.439	   8.23	   5.01	 191.27	 168.73	  11.27	  81.10	  0.958	 0.08648567	  0.454	 0.04663535	  0.097	 0.00497699	 0.3481	  0.849	  0.48254	 0.97517853	
m70124c1r7.htb	    0.0	  30.00	  0.000	   0.00	   0.00	  60.00	   2.64	  0.414	   1.12	   3.06	 268.83	  91.17	  88.83	 526.42	  1.989	 0.25148750	  0.256	 0.16453820	  0.050	 0.04580628	 0.3717	  0.483	  1.01270	 0.90786436	
m70124c2r7.htb	    0.0	  30.00	  0.000	  10.00	 -20.00	  80.00	   3.73	  0.284	   4.71	   1.21	  43.50	  43.50	  43.50	 192.08	  0.553	 0.57611720	  0.482	 0.03785503	  0.029	 0.13402463	 0.2965	  0.477	  0.38305	 0.98384091	
