FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		
m60201c1r9.htb	   60.0	   5.00	  0.000	   0.00	  -5.00	  30.00	   0.20	  0.571	   0.07	   0.19	 217.44	 142.56	  37.44	  54.63	  3.466	 0.82446171	  0.366	 0.08428281	  0.017	 0.25550188	 0.2603	  0.401	  0.06669	 0.99945632	
m60208c1r7.htb	   45.0	   5.00	  0.000	   0.00	   0.00	  45.00	   6.77	  0.216	   9.01	   1.54	   2.01	   2.01	   2.01	 139.86	  0.408	 0.96714258	  0.664	 0.00746417	  0.016	 0.27100352	 0.1741	  0.819	  0.10108	 0.99876504	
m60213c1r7.htb	   30.0	   5.00	  0.000	  -5.00	  10.00	  40.00	   5.12	  0.429	   6.72	   4.62	 293.70	  66.30	  66.30	  42.39	  0.744	 0.00037230	  0.512	 0.03028156	  0.157	 0.00027409	 0.5017	  0.385	  1.61842	 0.80547826	
m60217c1r7.htb	    0.0	  10.00	  0.000	  10.00	  15.00	  50.00	  12.09	  0.165	  13.78	   1.97	   7.30	   7.30	   7.30	 107.65	  0.538	 0.68653399	  0.624	 0.01134923	  0.037	 0.08605964	 0.2870	  0.461	  0.25096	 0.99275620	
m60220c2r8.htb	  230.0	  15.00	  0.000	   0.00	  15.00	  50.00	   5.77	  0.247	   6.77	   0.48	 230.86	 129.14	  50.86	 197.69	  0.324	 0.82172115	  0.019	 0.72374091	  0.002	 0.70853503	 0.2567	  0.589	  0.38016	 0.98406869	
m60220c3r7.htb	   45.0	  10.00	  0.000	  10.00	  10.00	  50.00	   4.13	  0.215	   8.26	   2.21	 237.18	 122.82	  57.18	  42.39	  0.349	 0.46297886	  0.835	 0.00057001	  0.074	 0.01461332	 0.3195	  0.373	  0.17022	 0.99657712	
m60220c6r8.htb	   45.0	  10.00	  0.000	   0.00	  10.00	  40.00	   0.10	  0.333	   0.71	   0.10	 275.06	  84.94	  84.94	  42.39	  0.134	 0.83610743	  0.239	 0.18145165	  0.007	 0.36725817	 0.2288	  0.535	  0.38819	 0.98343259	
m60221c1r8.htb	    0.0	  20.00	  0.000	 -10.00	  10.00	  50.00	   0.90	  0.475	   3.86	   2.96	 358.09	   1.91	   1.91	 172.24	  0.499	 0.01663668	  0.667	 0.00721319	  0.160	 0.00023890	 0.4040	  0.527	  0.58133	 0.96511570	
m60221c2r9.htb	    0.0	  15.00	  0.000	   0.00	  20.00	  60.00	   1.14	  0.313	   1.96	   2.99	 165.79	 165.79	  14.21	 345.33	  0.786	 0.89421563	  0.598	 0.01454166	  0.022	 0.19307073	 0.1930	  0.939	  0.06312	 0.99951237	
m60221c3r7.htb	    0.0	  10.00	  0.000	   3.00	   8.00	  50.00	   1.64	  0.327	   4.81	   2.87	 330.87	  29.13	  29.13	 307.98	  0.475	 0.19740640	  0.401	 0.06716626	  0.046	 0.05650162	 0.3428	  0.485	  1.18036	 0.88132123	
m60221c4r7.htb	   30.0	  10.00	  0.000	   8.00	   0.00	  50.00	   3.08	  0.460	   3.08	   2.68	 266.06	  93.94	  86.06	 222.39	  1.003	 0.19058578	  0.664	 0.00746623	  0.081	 0.01070990	 0.3382	  0.795	  0.37080	 0.98479670	
m60221c5r8.htb	    0.0	  10.00	  0.000	   0.00	   0.00	  50.00	   2.84	  0.530	   4.02	   3.55	   5.73	   5.73	   5.73	  42.39	  0.749	 0.00028590	  0.897	 0.00010793	  0.281	 0.00000043	 0.5133	  0.417	  0.48250	 0.97518220	
