FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60213c2r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.57	  3.54	 47.28	 46.05	  1.61	 13.84	  0.00		  0.00		 1.027	
m60213c3r1.htb	 120.0	  0.03	 2.000	  0.00	  5.00	 40.00	  1.94	 13.85	 38.97	 30.80	  7.44	  2.88	  0.00		  5.00		 1.265	
m60220c1r1.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 40.00	  0.55	  0.65	 34.58	 28.51	  5.85	  7.42	  0.00		  0.00		 1.213	
m60317c1r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.90	  2.24	 37.34	 30.54	  1.84	  2.21	  0.00		  0.00		 1.223	
m60317c2r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.59	  4.93	 39.18	 15.83	 10.18	 19.83	  0.00		  0.00		 2.476	
m60404c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.57	  6.46	 52.31	 20.66	  0.20	 -0.42	  0.00		  0.00		 2.532	
m60407c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  6.18	 51.17	 36.80	  1.97	 -5.07	  0.00		  0.00		 1.390	
m60407c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 11.46	  9.21	 71.91	 51.93	  8.39	  3.57	  0.00		  0.00		 1.385	
m60407c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.01	  3.51	 34.48	 39.00	  5.73	 -20.10	  0.00		  0.00		 0.884	
m60407c4r1.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	  3.73	 10.55	 36.94	 30.48	 13.71	 -9.45	 10.00		  0.00		 1.212	
m60407c5r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.16	  8.78	 30.41	 32.45	 12.24	 -6.56	  0.00		  0.00		 0.937	
m60413c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 12.45	 10.05	 28.69	 36.91	  4.73	 -23.20	  0.00		  0.00		 0.777	
m60413c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.46	  9.25	 22.70	 27.23	 -9.63	 -4.58	  0.00		  0.00		 0.834	
m60413c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.31	  8.56	 26.36	 25.32	 -6.69	 -5.32	  0.00		  0.00		 1.041	
m60414c2r1.htb	 250.0	  0.05	 2.000	  0.00	 -8.00	 40.00	  0.38	  5.80	 36.96	 31.43	  2.83	 -3.00	  0.00		 -8.00		 1.176	
m60418c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.53	 14.86	 46.73	 41.39	  5.95	 -2.97	  0.00		  0.00		 1.129	
m60421c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.33	  6.99	 44.50	 40.59	  3.71	 -1.78	  0.00		  0.00		 1.096	
m60421c2r1.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 40.00	  1.32	  5.20	 51.42	 35.00	 16.49	 -2.47	  8.00		  0.00		 1.469	
m60421c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.68	 17.35	 48.86	 29.63	  4.86	  3.86	  0.00		  0.00		 1.649	
