FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60201c2r7.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 30.00	 15.32	  8.31	 45.99	 23.97	 -1.78	 -9.42	  0.00		 -10.00		 1.919	
m60201c3r1.htb	 270.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  4.30	 27.24	 14.85	 12.33	  2.22	 -13.25	  0.00		 -10.00		 1.204	
m60201c4r1.htb	 270.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  9.24	 12.26	 54.74	 23.69	  4.71	 -14.33	  0.00		 -10.00		 2.311	
m60201c5r1.htb	 270.0	  0.05	 2.000	 10.00	 -15.00	 40.00	  3.23	 15.55	 18.71	 16.19	 -3.01	 -16.36	 10.00		 -15.00		 1.156	
m60201c5r3.htb	  30.0	  0.03	 2.000	  0.00	 -15.00	 50.00	  2.33	 23.28	 30.78	 20.25	  5.78	 -17.27	  0.00		 -15.00		 1.520	
m60203c1r1.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  2.09	  9.99	 28.49	 18.38	 -3.51	 -12.76	  0.00		 -10.00		 1.549	
m60203c2r1.htb	   0.0	  0.03	 2.000	 -2.00	 -12.00	 30.00	  6.38	 10.42	 31.80	 29.18	 -5.45	 -7.79	 -2.00		 -12.00		 1.090	
m60203c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 30.00	  4.35	 -2.35	 38.32	 15.49	 -11.93	  4.48	  0.00		 -15.00		 2.473	
m60207c1r1.htb	  30.0	  0.03	 2.000	  0.00	 -15.00	 30.00	  3.15	  5.91	 22.35	 20.87	 -7.98	 -12.52	  0.00		 -15.00		 1.070	
m60207c3r1.htb	 300.0	  0.03	 4.000	  0.00	  0.00	 30.00	  7.52	 12.99	 35.66	 11.17	 -2.71	 -0.56	  0.00		  0.00		 3.191	
m60207c4r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.86	  6.37	 46.65	 22.34	  4.74	  9.63	  0.00		  0.00		 2.088	
m60301c1r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  2.57	 43.67	 30.22	  0.02	 -2.21	  0.00		  0.00		 1.445	
m60301c2r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.75	  7.26	 30.40	 23.01	 -1.29	 -5.40	  0.00		  0.00		 1.321	
m60301c3r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.31	 22.44	 31.42	 18.41	  4.86	 -0.77	  0.00		  0.00		 1.707	
m60301c4r1.htb	  30.0	  0.03	 4.000	  0.00	  0.00	 40.00	  4.93	 12.28	 31.66	 30.91	 21.66	 -8.20	  0.00		  0.00		 1.025	
m60302c1r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.20	 14.33	 34.48	 21.58	  0.71	 -0.59	  0.00		  0.00		 1.598	
m60302c2r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.57	 16.94	 25.72	 18.41	 -0.79	 -2.78	  0.00		  0.00		 1.397	
m60302c3r1.htb	  30.0	  0.05	 4.000	  0.00	  0.00	 40.00	  2.00	  3.73	 29.21	 12.63	  2.57	 -3.72	  0.00		  0.00		 2.312	
m60302c4r1.htb	  30.0	  0.03	 4.000	  0.00	  0.00	 40.00	  8.85	  7.56	 43.90	 27.02	 -2.13	  1.68	  0.00		  0.00		 1.625	
m60404c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.74	  5.75	  7.08	 10.92	 10.47	  4.65	  0.00		  0.00		 0.649	
m60404c4r1.htb	   0.0	  0.03	 1.000	  0.00	  0.00	 40.00	  5.60	  8.02	 27.13	 30.43	  7.21	  3.72	  0.00		  0.00		 0.892	
m60404c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.25	  9.77	 43.55	 37.58	 -1.88	  3.75	  0.00		  0.00		 1.159	
m60405c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  7.42	 16.79	 37.68	 14.42	 -7.53	 -7.29	  0.00		 -5.00		 2.613	
m60405c3r1.htb	 270.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	  5.23	 15.91	 29.33	 17.77	 -5.91	 -17.21	 -5.00		 -5.00		 1.651	
m60414c1r1.htb	 180.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  0.69	  7.56	 27.43	 25.04	 -3.52	 -5.86	  0.00		 -10.00		 1.095	
m60414c3r1.htb	 180.0	  0.05	 2.000	  0.00	 -8.00	 40.00	 10.69	 19.55	 29.86	 15.54	 -5.24	 -5.89	  0.00		 -8.00		 1.922	
m60419c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.88	  3.26	 42.14	 24.94	 15.84	  0.60	  0.00		  0.00		 1.690	
m60419c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 12.27	  5.71	 49.33	 27.99	  4.42	 -3.20	  0.00		  0.00		 1.763	
m60420c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.70	 23.00	 35.22	 32.49	  6.99	  2.97	  0.00		  0.00		 1.084	
m60424c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.55	 23.88	 27.61	 17.29	 -9.84	 -1.64	  0.00		  0.00		 1.597	
m60424c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.22	 12.02	 33.39	 24.60	  6.26	 -2.98	  0.00		  0.00		 1.357	
m60517c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.40	 11.25	 33.02	 24.09	 -0.10	 -1.00	  0.00		  0.00		 1.371	
m60517c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.07	  7.84	 21.55	 22.38	 -8.43	 -2.72	  0.00		  0.00		 0.963	
m60517c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.57	 27.77	 19.86	 14.01	  4.86	 -4.23	  0.00		  0.00		 1.417	
m60517c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	 13.16	 19.72	 26.58	 19.03	  3.38	 -6.45	  0.00		  0.00		 1.397	
m60517c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.83	 18.75	 21.55	 20.10	  3.06	 -4.13	  0.00		  0.00		 1.072	
m60517c6r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.10	 27.76	 21.58	 20.86	  1.91	  2.05	  0.00		  0.00		 1.035	
m60518c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.07	  8.23	 37.37	 32.70	 -1.81	  1.64	  0.00		  0.00		 1.143	
m60519c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  4.05	 21.21	 25.49	 23.89	 -1.52	 -0.17	  0.00		  0.00		 1.067	
m60523c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.94	 -5.22	 66.49	 10.58	 -19.50	 15.73	  0.00		  0.00		 6.286	
m60523c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  8.05	 27.45	 34.93	 20.87	 -1.43	 -9.71	  0.00		 -10.00		 1.674	
m60523c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.10	  6.95	 36.13	 18.87	  0.80	 -8.01	  0.00		  0.00		 1.914	
m60524c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  1.14	  4.67	 23.74	 12.80	 -3.61	 -10.49	  0.00		  0.00		 1.855	
m60524c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.13	  3.74	 24.13	 19.05	 -6.52	 -0.69	  0.00		  0.00		 1.267	
m60524c3r1.htb	 240.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.54	  8.24	 36.57	 19.58	 -1.38	  6.37	  0.00		  0.00		 1.868	
m60524c4r1.htb	 240.0	  0.03	 2.000	  0.00	  0.00	 40.00	 13.10	 14.45	 48.94	 39.84	 -4.48	 -2.18	  0.00		  0.00		 1.228	
