FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Spont	 SI		 AnovaP	 SDI		 VarTerm	 MaxX 	 MinX 	 RsqMn	 PMean	 RsqRaw	 Praw		 ErfChi2	 ErfChiP	 DiffErfChi2	 DiffErfChiP	 Ke		 a		 Ki			 b+a		 DC_off	 Halfmax_slope
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   0.0	 0.0000	 -4.94	 0.0373	  0.43	  0.32	 64.000	 1.00000000	 0.000	    NaN	  0.11	  0.01	  2.6746	 0.2625	 2.67464404		    NaN	 0.00000000	 4.4535	 1.99004975	  7.40	 -0.04	 -0.0400	 
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   1.0	 0.0000	 -4.43	 0.2266	  0.36	  0.28	 64.000	 1.00000000	 0.000	    NaN	  0.06	  0.05	  1.4497	 0.6939	 1.44969818		    NaN	 0.00000000	 3.6279	 1.24378109	  6.67	 -0.02	 -0.0270	 
m60208c1r6.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 45.00	   0.0	 8.4080	  0.00	 0.0649	  0.40	  0.82	 64.000	 1.00000000	 0.157	  0.001	  0.16	  0.00	  0.0736	 0.9993	 0.07360855		 0.9639	 9.60802961	 100.0000	 0.00000000	 136.48	  7.09	 0.1052	 
m60208c1r6.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 45.00	   1.0	 8.4080	  0.00	 0.0008	  0.46	  0.89	 64.000	 1.00000000	 0.275	  0.000	  0.28	  0.00	  0.2580	 0.9924	 0.25802299		 0.8790	 13.25845446	 100.0000	 0.00000000	 104.00	  5.99	 0.1452	 
m60213c1r6.htb	  30.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   0.0	 3.8308	  0.00	 0.0000	  0.66	  0.55	 64.000	 1.00000000	 0.642	  0.000	  0.64	  0.00	  0.5711	 0.9662	 0.57109725		 0.7516	 10.99675219	 49.8884	 0.00000000	 52.98	  3.44	 0.2320	 
m60213c1r6.htb	  30.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   1.0	 3.8308	  0.00	 0.0000	  0.61	  0.60	 64.000	 1.00000000	 0.638	  0.000	  0.64	  0.00	  0.5974	 0.9634	 0.59745581		 0.7418	 10.66240099	 45.6074	 0.00000000	 45.89	  3.56	 0.2450	 
m60217c1r6.htb	   0.0	  0.05	 2.000	 10.00	 15.00	 50.00	   0.0	 11.0945	  0.02	 0.0080	  0.42	  0.53	 64.000	 1.00000000	 0.183	  0.000	  0.18	  0.00	  0.7513	 0.9449	 0.73320257		 0.6931	 23.36961882	 67.5343	 35.65657673	 167.53	  9.72	 0.1421	 
m60217c1r6.htb	   0.0	  0.05	 2.000	 10.00	 15.00	 50.00	   1.0	 11.0945	  0.00	 0.0000	  0.53	  0.50	 64.000	 1.00000000	 0.368	  0.000	  0.37	  0.00	  0.6347	 0.9591	 0.63463063		 0.7281	 9.60111822	 36.9623	 2.36228141	 37.80	  9.55	 0.2051	 
m60220c2r6.htb	 230.0	  0.03	 2.000	  0.00	 15.00	 60.00	   0.0	 4.8756	  0.05	 0.0103	  0.43	  0.68	 64.000	 1.00000000	 0.190	  0.000	  0.19	  0.00	  0.4245	 0.9804	 0.38797024		 0.8237	 29.20904277	 70.4641	 46.01990050	 166.12	  4.36	 0.1469	 
m60220c2r6.htb	 230.0	  0.03	 2.000	  0.00	 15.00	 60.00	   1.0	 4.8756	  0.00	 0.0168	  0.40	  0.63	 64.000	 1.00000000	 0.093	  0.010	  0.09	  0.01	  1.0423	 0.9033	 1.04215145		 0.5939	 14.65783009	 78.0153	 10.64744100	 78.99	  6.49	 0.0573	 
m60220c3r6.htb	  30.0	  0.03	 4.000	 10.00	 10.00	 50.00	   0.0	 4.3781	  0.00	 0.0000	  0.60	  0.55	 64.000	 1.00000000	 0.520	  0.000	  0.52	  0.00	  1.3453	 0.8536	 1.34518431		 0.5104	 16.35826572	 100.0000	 4.61096531	 100.00	  3.61	 0.1286	 
m60220c3r6.htb	  30.0	  0.03	 4.000	 10.00	 10.00	 50.00	   1.0	 4.3781	  0.00	 0.0000	  0.63	  0.50	 64.000	 1.00000000	 0.620	  0.000	  0.62	  0.00	  0.1836	 0.9960	 0.18364550		 0.9123	 14.01547385	 71.9257	 2.27133168	 73.79	  2.91	 0.1764	 
m60220c6r7.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 40.00	   0.0	 1.1940	  0.20	 0.0000	  0.69	  0.55	 64.000	 1.00000000	 0.701	  0.000	  0.70	  0.00	  0.6957	 0.9519	 0.43720493		 0.8036	 47.88943690	 29.1431	 40.03546013	 35.54	 -0.14	 0.5417	 
m60220c6r7.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 40.00	   1.0	 1.1940	  0.21	 0.0000	  0.67	  0.54	 64.000	 1.00000000	 0.688	  0.000	  0.69	  0.00	  0.5553	 0.9679	 0.24360794		 0.8853	 45.31291046	 28.2952	 37.81510296	 34.84	  0.04	 0.5408	 
m60221c1r6.htb	   0.0	  0.03	 4.000	 -10.00	 10.00	 50.00	   0.0	 0.6468	  0.00	 0.0000	  0.66	  0.65	 64.000	 1.00000000	 0.739	  0.000	  0.74	  0.00	  0.3660	 0.9852	 0.36604237		 0.8328	 14.78022088	 47.3668	 3.15562508	 47.43	  0.66	 0.2577	 
m60221c1r6.htb	   0.0	  0.03	 4.000	 -10.00	 10.00	 50.00	   1.0	 0.6468	  0.00	 0.0000	  0.69	  0.64	 64.000	 1.00000000	 0.824	  0.000	  0.82	  0.00	  0.2789	 0.9911	 0.27892220		 0.8698	 29.92004330	 49.3469	 14.69689821	 49.62	  0.22	 0.3261	 
m60221c2r7.htb	   0.0	  0.03	 4.000	  0.00	 20.00	 60.00	   0.0	 2.8856	  0.00	 0.0000	  0.71	  0.46	 64.000	 1.00000000	 0.744	  0.000	  0.74	  0.00	  3.1183	 0.5382	 3.11829096		 0.2103	 21.16589753	 100.0000	 5.47760429	 100.00	  1.76	 0.1718	 
m60221c2r7.htb	   0.0	  0.03	 4.000	  0.00	 20.00	 60.00	   1.0	 2.8856	  0.00	 0.0000	  0.66	  0.55	 64.000	 1.00000000	 0.677	  0.000	  0.68	  0.00	  0.7216	 0.9486	 0.72165178		 0.6971	 16.02993016	 70.2029	 2.77672066	 71.54	  1.77	 0.2035	 
m60221c3r6.htb	   0.0	  0.03	 2.000	  3.00	  8.00	 50.00	   0.0	 2.0896	  0.00	 0.0000	  0.76	  0.46	 64.000	 1.00000000	 0.884	  0.000	  0.88	  0.00	  3.2316	 0.5198	 3.23166400		 0.1987	 17.54836950	 28.7621	 0.14425151	 29.76	  0.51	 0.6260	 
