FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Spont	 SI		 AnovaP	 SDI		 VarTerm	 MaxX 	 MinX 	 RsqMn	 PMean	 RsqRaw	 Praw		 ErfChi2	 ErfChiP	 DiffErfChi2	 DiffErfChiP	 Ke		 a		 Ki			 b+a		 DC_off	 Halfmax_slope	 F_SI	 P_SI	
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   0.0	 0.0000	 -5.06	 0.0373	  0.43	  0.32	 64.000	 1.00000000	 0.000	    NaN	  0.11	  0.01	  2.6746	 0.2625	 2.67464404		    NaN	 0.00000000	 4.3505	 1.99004975	  7.56	 -0.04	 -0.0392	 0.0000	 1.0000	 
m60201c1r6.htb	  60.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   1.0	 0.0000	 -4.46	 0.2266	  0.36	  0.28	 64.000	 1.00000000	 0.000	    NaN	  0.06	  0.05	  1.4497	 0.6939	 1.44969818		    NaN	 0.00000000	 3.7721	 1.24378109	  6.72	 -0.02	 -0.0269	 0.0000	 1.0000	 
m60208c1r6.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 45.00	   0.0	 8.4080	  0.00	 0.0649	  0.40	  0.82	 64.000	 1.00000000	 0.157	  0.001	  0.16	  0.00	  0.0736	 0.9993	 0.07360927		 0.9639	 9.60787942	 100.0000	 0.00000000	 101.44	  7.09	 0.1052	 -0.0000	 1.0000	 
m60208c1r6.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 45.00	   1.0	 8.4080	  0.00	 0.0008	  0.46	  0.89	 64.000	 1.00000000	 0.275	  0.000	  0.28	  0.00	  0.2580	 0.9924	 0.25803123		 0.8790	 20.53657837	 100.0000	 7.27849950	 100.00	  5.99	 0.1452	 -0.0000	 1.0000	 
m60213c1r6.htb	  30.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   0.0	 3.8308	  0.00	 0.0000	  0.66	  0.55	 64.000	 1.00000000	 0.642	  0.000	  0.64	  0.00	  0.5711	 0.9662	 0.57109215		 0.7516	 10.99687233	 49.8897	 0.00000000	 50.79	  3.44	 0.2320	 -0.0000	 1.0000	 
m60213c1r6.htb	  30.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   1.0	 3.8308	  0.00	 0.0000	  0.61	  0.60	 64.000	 1.00000000	 0.638	  0.000	  0.64	  0.00	  0.5974	 0.9633	 0.59751741		 0.7417	 10.66238368	 45.6063	 0.00000000	 46.16	  3.56	 0.2450	 -0.0000	 1.0000	 
m60217c1r6.htb	   0.0	  0.05	 2.000	 10.00	 15.00	 50.00	   0.0	 11.0945	  0.02	 0.0080	  0.42	  0.53	 64.000	 1.00000000	 0.183	  0.000	  0.18	  0.00	  0.7513	 0.9449	 0.73221977		 0.6934	 34.99676608	 77.8577	 56.34036067	 177.86	  9.72	 0.1419	 0.0000	 1.0000	 
m60217c1r6.htb	   0.0	  0.05	 2.000	 10.00	 15.00	 50.00	   1.0	 11.0945	  0.00	 0.0000	  0.53	  0.50	 64.000	 1.00000000	 0.368	  0.000	  0.37	  0.00	  0.6346	 0.9591	 0.63467740		 0.7281	 8.10389307	 36.8032	 0.86486664	 37.72	  9.55	 0.2051	 0.0000	 1.0000	 
m60220c2r6.htb	 230.0	  0.03	 2.000	  0.00	 15.00	 60.00	   0.0	 4.8756	  0.00	 0.0103	  0.43	  0.68	 64.000	 1.00000000	 0.188	  0.000	  0.19	  0.00	  0.4245	 0.9804	 0.42448655		 0.8088	 5.52434914	 31.2669	 0.96649705	 31.63	  4.34	 0.1514	 0.0000	 1.0000	 
m60220c2r6.htb	 230.0	  0.03	 2.000	  0.00	 15.00	 60.00	   1.0	 4.8756	  0.00	 0.0168	  0.40	  0.63	 64.000	 1.00000000	 0.093	  0.010	  0.09	  0.01	  1.0422	 0.9033	 1.04233025		 0.5938	 15.68002329	 76.8539	 11.66214024	 77.25	  6.49	 0.0572	 0.0000	 1.0000	 
