FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Spont	 SI		 AnovaP	 SDI		 VarTerm	 MaxX 	 MinX 	 RsqMn	 PMean	 RsqRaw	 Praw		 ErfChi2	 ErfChiP	 DiffErfChi2	 DiffErfChiP	 Ke		 a		 Ki			 b+a		 DC_off	 Halfmax_slope	 F_SI	 P_SI	
m60110c1r5.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 50.00	   0.0	 1.0945	  0.00	 0.0000	  0.52	  0.55	 64.000	 1.00000000	 0.366	  0.000	  0.37	  0.00	  0.2589	 0.9923	 0.25892692		 0.8786	 7.12097393	 100.0000	 2.64628172	 100.00	  0.94	 0.0490	 -0.0000	 1.0000	 
m60110c1r5.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 50.00	   1.0	 1.0945	  0.00	 0.0002	  0.49	  0.50	 64.000	 1.00000000	 0.156	  0.001	  0.16	  0.00	  2.0503	 0.7265	 2.05029584		 0.3587	 1.26554753	 8.1151	 0.00000000	  9.23	  0.70	 0.1544	 -0.0000	 1.0000	 
m60110c2r6.htb	  30.0	  0.05	 1.000	  3.00	 -7.00	 30.00	   0.0	 2.7529	  0.00	 0.6748	  0.20	  1.60	 64.000	 1.00000000	 0.033	  0.074	  0.03	  0.07	  0.0377	 0.9998	 0.03766800		 0.9813	 20.53777682	 19.7628	 18.47767058	 20.19	  1.10	 0.1278	 0.0007	 0.9993	 
m60110c2r6.htb	  30.0	  0.05	 1.000	  3.00	 -7.00	 30.00	   1.0	 2.7529	  0.01	 0.6997	  0.15	  1.67	 64.000	 1.00000000	 0.036	  0.061	  0.04	  0.06	  0.0039	 1.0000	 0.00374590		 0.9981	 8.12071475	 29.8641	 6.24324638	 32.96	  1.71	 0.0860	 0.0007	 0.9993	 
m60110c3r6.htb	  90.0	  0.03	 2.000	 20.00	 -15.00	 30.00	   0.0	 8.7420	  0.00	 0.0000	  0.63	  0.61	 64.000	 1.00000000	 0.701	  0.000	  0.70	  0.00	  0.5721	 0.9661	 0.57131120		 0.7515	 19.55081061	 25.2963	 1.52573599	 27.10	  7.70	 0.7395	 -0.0011	 1.0000	 
m60110c3r6.htb	  90.0	  0.03	 2.000	 20.00	 -15.00	 30.00	   1.0	 8.7420	  0.00	 0.0000	  0.77	  0.38	 64.000	 1.00000000	 0.886	  0.000	  0.89	  0.00	  0.6872	 0.9529	 0.68819996		 0.7089	 21.44848683	 16.0001	 1.10723411	 18.92	  4.92	 1.3096	 -0.0011	 1.0000	 
m60125c1r7.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 50.00	   0.0	 6.2811	  0.00	 0.0004	  0.54	  0.37	 64.000	 1.00000000	 0.390	  0.000	  0.39	  0.00	  0.3795	 0.9841	 0.37957337		 0.8271	 4.58320973	 45.1238	 0.00614817	 50.86	  5.26	 0.1063	 0.0556	 0.9459	 
m60125c1r7.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 50.00	   1.0	 6.2811	  0.03	 0.4874	  0.35	  0.40	 64.000	 1.00000000	 0.004	  0.661	  0.00	  0.66	  0.5168	 0.9718	 0.49012334		 0.7827	 7.64858003	 1.1404	 3.72849310	  1.59	  3.03	 1.3268	 0.0556	 0.9459	 
m60125c2r6.htb	  30.0	  0.03	 2.000	 -7.00	 -3.00	 40.00	   0.0	 6.1194	  0.00	 0.0000	  0.62	  0.52	 64.000	 1.00000000	 0.647	  0.000	  0.65	  0.00	  1.1574	 0.8851	 1.15753768		 0.5606	 13.28874244	 52.2200	 0.01976769	 56.06	  5.62	 0.2681	 -0.0000	 1.0000	 
m60125c2r6.htb	  30.0	  0.03	 2.000	 -7.00	 -3.00	 40.00	   1.0	 6.1194	  0.00	 0.0000	  0.68	  0.46	 64.000	 1.00000000	 0.750	  0.000	  0.75	  0.00	  0.2569	 0.9924	 0.25693076		 0.8794	 14.09614036	 47.1412	 0.00000000	 50.36	  5.59	 0.3138	 -0.0000	 1.0000	 
m60125c3r6.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   0.0	 3.2338	  0.09	 0.0000	  0.70	  0.59	 64.000	 1.00000000	 0.840	  0.000	  0.84	  0.00	  1.0850	 0.8966	 0.72489677		 0.6960	 72.35706955	 57.3662	 91.29353234	 128.75	  1.50	 0.5877	 0.4587	 0.6342	 
m60125c3r6.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   1.0	 3.2338	  0.09	 0.0000	  0.69	  0.59	 64.000	 1.00000000	 0.793	  0.000	  0.79	  0.00	  1.6082	 0.8073	 1.36341320		 0.5058	 86.31840796	 37.7451	 73.22732835	 44.57	  1.81	 0.6776	 0.4587	 0.6342	 
