FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60110c1r2.htb	   0.0	  0.10	 2.000	  0.00	  0.00	 50.00	   0.0	 0.1440	 996.0000		 0.0000	   0.0	
m60110c1r2.htb	   0.0	  0.10	 2.000	  0.00	  0.00	 50.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60110c2r3.htb	  30.0	  0.05	 2.000	  3.00	 -7.00	 30.00	   0.0	 0.3480	 996.0000		 0.0000	   0.0	
m60110c2r3.htb	  30.0	  0.05	 2.000	  3.00	 -7.00	 30.00	   1.0	 0.1250	 996.0000		 0.0000	   0.0	
m60110c3r3.htb	  90.0	  0.05	 1.000	 20.00	 -15.00	 30.00	   0.0	 0.1460	 996.0000		 0.0000	   0.0	
m60110c3r3.htb	  90.0	  0.05	 1.000	 20.00	 -15.00	 30.00	   1.0	 2.0080	 996.0000		 0.0000	   0.0	
m60117c2r2.htb	  90.0	  0.05	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.5950	 996.0000		 0.0000	   1.0	
m60117c2r2.htb	  90.0	  0.05	 2.000	  5.00	 -10.00	 40.00	   1.0	 0.3440	 996.0000		 0.0000	   0.0	
m60125c1r3.htb	  30.0	  0.50	 2.000	  0.00	  0.00	 50.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60125c1r3.htb	  30.0	  0.50	 2.000	  0.00	  0.00	 50.00	   1.0	 -0.4890	 996.0000		 0.0000	   1.0	
m60125c2r2.htb	  30.0	  0.05	 2.000	 -7.00	 -3.00	 40.00	   0.0	 0.1560	 996.0000		 0.0000	   1.0	
m60125c2r2.htb	  30.0	  0.05	 2.000	 -7.00	 -3.00	 40.00	   1.0	 0.1780	 996.0000		 0.0000	   1.0	
m60125c3r3.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   0.0	 0.0990	 996.0000		 0.0000	   0.0	
m60125c3r3.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   1.0	 0.1190	 996.0000		 0.0000	   0.0	
m60125c4r4.htb	  90.0	  0.03	 2.000	  0.00	 -8.00	 30.00	   0.0	 0.1290	 996.0000		 0.0000	   0.0	
m60125c4r4.htb	  90.0	  0.03	 2.000	  0.00	 -8.00	 30.00	   1.0	 0.1180	 996.0000		 0.0000	   0.0	
m60201c2r3.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   0.0	 0.1490	 996.0000		 0.0000	   1.0	
m60201c2r3.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   1.0	 0.1170	 996.0000		 0.0000	   0.0	
m60201c3r5.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   0.0	 0.1180	 996.0000		 0.0000	   0.0	
m60201c3r5.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   1.0	 0.1030	 996.0000		 0.0000	   0.0	
