FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 TFHW25	 TFHW20	 TFHW15	 TFHW10	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m60110c1r3.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 50.00	   0.0	 1.6200	  0.57	 0.5000	  0.08	  0.55	 24.035	 0.98127255	 0.065	  0.844	  8.00	  0.50	  0.2000	  0.2900	  0.3100	  0.3400	  0.3800	 0.2900	 0.34906024	 0.0026	 0.72496816	 0.0086	        NaN	  0.08	  0.49	 1.6218	 0.0924	 0.0141	
m60110c1r3.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 50.00	   1.0	 1.6700	  1.03	 0.5000	  0.13	  0.55	 1.914	 0.90039055	 0.167	  0.863	  8.00	  0.50	  0.2300	  0.3300	  0.3500	  0.3900	  0.4300	 0.1031	 0.59832624	 0.0024	 0.73806351	 0.0580	        NaN	  0.13	  0.90	 1.6721	 0.1008	 0.0264	
m60110c2r4.htb	  30.0	  0.05	 2.000	  3.00	 -7.00	 30.00	   0.0	 1.3000	 12.42	 8.0000	  5.90	  3.23	 1.020	 0.00053613	 0.521	  0.550	  8.00	  0.50	  2.5800	  4.1500	  4.5500	  5.0000	  5.5000	 0.9367	 0.00689920	 0.3285	 0.00001362	 0.1266	        NaN	  3.05	  9.37	 1.2998	 1.1761	 0.0010	
m60110c2r4.htb	  30.0	  0.05	 2.000	  3.00	 -7.00	 30.00	   1.0	 0.5000	 14.20	 8.0000	  7.59	  3.23	 0.816	 0.00003585	 0.523	  0.468	  8.00	  0.50	  1.7000	  3.1500	  3.6100	  4.1800	  4.9300	 0.9518	 0.00456122	 0.4082	 0.00000060	 0.1884	        NaN	  6.81	  7.39	 0.5000	 1.2254	 0.1000	
m60110c3r4.htb	  90.0	  0.03	 1.000	 20.00	 -15.00	 30.00	   0.0	 1.5200	 30.77	 8.0000	 19.02	  9.14	 0.543	 0.00002332	 0.560	  0.334	  8.00	  0.50	  0.5900	  0.8800	  0.9700	  1.0700	  1.2100	 0.9052	 0.01275006	 0.4742	 0.00000090	 0.3385	        NaN	 19.02	 11.75	 1.5247	 0.2562	 0.1000	
m60110c3r4.htb	  90.0	  0.03	 1.000	 20.00	 -15.00	 30.00	   1.0	 0.6300	 21.80	 8.0000	 13.82	  9.14	 0.640	 0.00226848	 0.474	  0.530	  8.00	  0.50	  2.4000	  4.1800	  4.6600	  5.2000	  5.8200	 0.9029	 0.01324125	 0.3269	 0.00009432	 0.2860	        NaN	 10.14	 11.65	 0.6312	 1.5842	 0.1000	
m60117c2r4.htb	  90.0	  0.05	 4.000	  5.00	 -10.00	 40.00	   0.0	 1.3200	 22.34	 8.0000	 13.21	 13.03	 1.418	 0.00009946	 0.521	  0.519	  8.00	  0.50	  2.6400	  4.2000	  4.6000	  5.0400	  5.5200	 0.9555	 0.00404073	 0.3829	 0.00000167	 0.1951	        NaN	  9.13	 13.21	 1.3243	 1.1340	 0.1000	
m60117c2r4.htb	  90.0	  0.05	 4.000	  5.00	 -10.00	 40.00	   1.0	 1.4000	 22.66	 8.0000	 14.53	 13.03	 1.305	 0.00102897	 0.490	  0.480	  8.00	  0.50	  2.6200	  4.1600	  4.5400	  4.9700	  5.4500	 0.9976	 0.00004913	 0.3292	 0.00001325	 0.0189	        NaN	 11.10	 11.57	 1.3996	 1.0817	 0.1000	
m60125c1r4.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 50.00	   0.0	 1.2900	  5.17	 8.0000	  2.85	  4.93	 15.363	 0.50116342	 0.283	  0.775	  8.00	  0.50	  2.7600	  4.3600	  4.7500	  5.1700	  5.6400	 0.9416	 0.00610357	 0.0661	 0.07138491	 0.0146	        NaN	  1.44	  3.73	 1.2885	 1.2670	 0.1000	
m60125c1r4.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 50.00	   1.0	 2.0800	  6.93	 0.5000	  4.75	  4.93	 1.297	 0.38449026	 0.289	  0.711	  8.00	  0.50	  0.2100	  0.2900	  0.3200	  0.3400	  0.3800	 0.7709	 0.05019412	 0.0667	 0.07012075	 0.1706	        NaN	  4.75	  2.18	 2.0840	 0.0712	 0.0991	
