FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m60830c1r3.htb	 180.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   0.0	 1.6000	 15.56	 16.0000	  8.29	  7.11	 0.880	 0.00028998	 0.486	  0.583	 16.00	  0.50	  2.6800	 0.8295	 0.01159293	 0.2851	 0.00001116	 0.7300	        NaN	  8.13	  7.44	 1.5955	 0.8163	 0.1000	
m60830c1r3.htb	 180.0	  0.03	 2.000	 -8.00	 -10.00	 40.00	   1.0	 1.5700	 17.38	 16.0000	  9.25	  7.11	 0.828	 0.00002651	 0.511	  0.593	 16.00	  0.50	  1.7300	 0.8997	 0.00390640	 0.3637	 0.00000034	 0.4039	        NaN	  9.24	  8.14	 1.5675	 0.6020	 0.1000	
m60830c2r3.htb	 180.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.8700	 14.87	 16.0000	 12.75	 10.60	 0.613	 0.03348345	 0.412	  0.326	 16.00	  0.50	  3.7000	 0.4634	 0.13661427	 0.0908	 0.01928681	 0.8259	        NaN	 12.25	  2.62	 0.8657	 1.5438	 0.1000	
m60830c2r3.htb	 180.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 1.5200	 15.78	 16.0000	 13.82	 10.60	 0.477	 0.35463780	 0.296	  0.309	 16.00	  0.50	  2.5000	 0.8884	 0.00485570	 0.0843	 0.02442504	 0.0620	        NaN	 13.78	  2.00	 1.5173	 0.8364	 0.0010	
m60831c1r3.htb	 180.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 1.8400	  9.96	 16.0000	  1.24	  0.90	 1.062	 0.00000083	 0.563	  0.810	 16.00	  0.50	  3.7300	 0.9817	 0.00012672	 0.4718	 0.00000000	 0.0578	        NaN	  0.33	  9.63	 1.8419	 0.9721	 0.1000	
m60831c1r3.htb	 180.0	  0.03	 2.000	 10.00	  0.00	 40.00	   1.0	 1.5300	 11.72	 16.0000	  0.90	  0.90	 1.066	 0.00000000	 0.628	  0.731	 16.00	  0.50	  3.2700	 0.9673	 0.00040532	 0.6440	 0.00000000	 0.5274	        NaN	  0.15	 11.57	 1.5292	 0.9774	 0.1000	
m60831c4r3.htb	 180.0	  0.03	 2.000	  5.00	  0.00	 60.00	   0.0	 7.5000	 11.01	 0.5000	  5.85	  4.78	 0.827	 0.07099492	 0.400	  0.727	 16.00	  0.50	  4.9700	 0.9520	 0.00087728	 0.1593	 0.00158506	 0.0268	        NaN	  5.85	  5.16	 7.4976	 0.4314	 0.0010	
m60831c4r3.htb	 180.0	  0.03	 2.000	  5.00	  0.00	 60.00	   1.0	 7.1000	 11.03	 0.5000	  4.98	  4.78	 0.897	 0.00486687	 0.493	  0.692	 16.00	  0.50	  3.8300	 0.8315	 0.01130809	 0.2175	 0.00017279	 0.2343	        NaN	  4.98	  6.05	 7.1042	 0.3606	 0.1000	
m60901c4r3.htb	 180.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	   0.0	 2.4700	 10.75	 16.0000	  4.37	  3.68	 0.976	 0.00123620	 0.606	  0.412	 16.00	  0.50	  3.7500	 0.9602	 0.00060296	 0.6031	 0.00000501	 0.8396	        NaN	  3.85	  6.89	 2.4683	 0.8054	 0.1000	
m60901c4r3.htb	 180.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	   1.0	 1.8100	 13.00	 16.0000	  4.00	  3.68	 1.242	 0.01122244	 0.607	  0.515	 16.00	  0.50	  4.9700	 0.9969	 0.00000359	 0.4982	 0.00005620	 0.0067	        NaN	  0.00	 13.00	 1.8057	 1.3899	 0.1000	
m60907c1r3.htb	 180.0	  0.03	 2.000	 10.00	  8.00	 40.00	   0.0	 2.0700	  6.50	 16.0000	  1.95	  1.29	 1.249	 0.00021577	 0.567	  0.544	 16.00	  0.50	  5.0400	 0.6534	 0.05158106	 0.2297	 0.00010684	 1.2881	        NaN	  0.00	  6.50	 2.0724	 1.2900	 0.1000	
m60907c1r3.htb	 180.0	  0.03	 2.000	 10.00	  8.00	 40.00	   1.0	 2.2900	  8.83	 16.0000	  2.91	  1.29	 1.187	 0.00000178	 0.574	  0.469	 16.00	  0.50	  5.2000	 0.9775	 0.00019129	 0.4544	 0.00000000	 0.1114	        NaN	  0.10	  8.73	 2.2941	 1.2660	 0.1000	
m60907c2r3.htb	 180.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 3.5000	  1.57	 0.5000	  0.26	  0.80	 2.030	 0.04239424	 0.439	  0.505	 16.00	  0.50	  6.6700	 0.9460	 0.00111431	 0.1771	 0.00081367	 0.1299	        NaN	  0.00	  1.57	 3.4984	 1.0250	 0.0010	
m60907c2r3.htb	 180.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 2.9600	  1.95	 16.0000	  1.06	  0.80	 1.703	 0.07889590	 0.370	  0.446	 16.00	  0.50	  5.8800	 0.7476	 0.02624091	 0.1219	 0.00624924	 0.6249	        NaN	  0.16	  1.79	 2.9643	 1.4132	 0.1000	
m60907c3r3.htb	 120.0	  0.03	 2.000	  0.00	 -15.00	 40.00	   0.0	 1.1200	 26.98	 16.0000	 15.02	 14.68	 1.541	 0.00000783	 0.544	  0.623	 16.00	  0.50	  4.7800	 0.9227	 0.00230183	 0.3991	 0.00000006	 0.3140	        NaN	  8.02	 18.96	 1.1184	 1.8277	 0.1000	
m60907c3r3.htb	 120.0	  0.03	 2.000	  0.00	 -15.00	 40.00	   1.0	 0.8500	 27.51	 16.0000	 17.70	 14.68	 1.136	 0.00283019	 0.414	  0.834	 16.00	  0.50	  1.0900	 0.9143	 0.00283918	 0.2546	 0.00003944	 0.2222	        NaN	 17.70	  9.81	 0.8542	 0.6389	 0.1000	
m61024c1r3.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 40.00	   0.0	 1.2700	 14.15	 16.0000	  3.88	  4.43	 1.068	 0.00000543	 0.490	  0.858	 16.00	  0.50	  2.2400	 0.9737	 0.00026081	 0.4291	 0.00000001	 0.1774	        NaN	  3.76	 10.39	 1.2682	 0.8265	 0.1000	
m61024c1r3.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 40.00	   1.0	 1.3200	 14.85	 16.0000	  5.36	  4.43	 0.995	 0.00001037	 0.504	  0.720	 16.00	  0.50	  2.5200	 0.9657	 0.00044614	 0.4115	 0.00000003	 0.2408	        NaN	  5.15	  9.70	 1.3186	 0.8789	 0.1000	
m61024c2r3.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   0.0	 1.2600	  6.46	 16.0000	  0.78	  1.04	 1.092	 0.00000409	 0.575	  0.624	 16.00	  0.50	  2.7900	 0.8910	 0.00462773	 0.3982	 0.00000006	 0.4241	        NaN	  0.55	  5.91	 1.2598	 0.9720	 0.1000	
m61024c2r3.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   1.0	 1.4100	  6.93	 16.0000	  1.60	  1.04	 1.138	 0.00000484	 0.590	  0.555	 16.00	  0.50	  4.4000	 0.8606	 0.00765927	 0.3814	 0.00000015	 0.8052	        NaN	  0.00	  6.93	 1.4108	 1.3811	 0.1000	
m61027c1r3.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 1.6400	 22.67	 16.0000	 11.20	 12.59	 1.488	 0.00000076	 0.560	  0.525	 16.00	  0.50	  4.5700	 0.8875	 0.00493822	 0.4280	 0.00000001	 0.5663	        NaN	  7.67	 15.00	 1.6448	 1.3064	 0.1000	
m61027c1r3.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 1.2500	 21.93	 16.0000	 13.05	 12.59	 1.602	 0.00000210	 0.583	  0.470	 16.00	  0.50	  5.1800	 0.7602	 0.02356579	 0.3507	 0.00000062	 1.3674	        NaN	  5.73	 16.19	 1.2508	 1.9664	 0.1000	
m61027c2r3.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   0.0	 2.0400	 13.96	 16.0000	  7.68	  6.97	 0.992	 0.00000157	 0.543	  0.410	 16.00	  0.50	  3.8100	 0.8128	 0.01406692	 0.3799	 0.00000016	 1.0956	        NaN	  7.02	  6.94	 2.0375	 0.9298	 0.1000	
m61027c2r3.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   1.0	 1.4200	 13.24	 16.0000	  9.61	  6.97	 0.968	 0.01431302	 0.433	  0.379	 16.00	  0.50	  5.0700	 0.9073	 0.00332800	 0.2051	 0.00027940	 0.2115	        NaN	  7.35	  5.90	 1.4239	 1.7042	 0.1000	
m61106c4r3.htb	 120.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.6300	 18.80	 16.0000	  8.86	 10.25	 1.181	 0.00000000	 0.593	  0.458	 16.00	  0.50	  1.8400	 0.9883	 0.00005162	 0.6533	 0.00000000	 0.1829	        NaN	  8.70	 10.11	 0.6329	 1.0724	 0.1000	
m61106c4r3.htb	 120.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.6300	 18.80	 16.0000	  8.86	 10.25	 1.181	 0.00000000	 0.593	  0.458	 16.00	  0.50	  1.8400	 0.9883	 0.00005162	 0.6533	 0.00000000	 0.1829	        NaN	  8.70	 10.11	 0.6330	 1.0724	 0.1000	
