FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m60112c1r4.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   0.0	 2.0600	 23.23	 8.0000	 11.68	  4.56	 0.960	 0.00091344	 0.554	  0.619	  8.00	  0.50	  2.7200	 0.9383	 0.00662886	 0.5253	 0.00001904	 0.4413	        NaN	  5.31	 17.91	 2.0634	 0.9176	 0.1000	
m60112c1r4.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   1.0	 1.9700	 26.39	 8.0000	 11.27	  4.56	 0.856	 0.00000003	 0.726	  0.339	  8.00	  0.50	  2.1300	 0.9999	 0.00000041	 0.8302	 0.00000000	 0.0067	        NaN	  9.37	 17.02	 1.9658	 0.6524	 0.1000	
m60117c1r5.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 30.00	   0.0	 2.5700	 13.32	 0.5000	  7.99	  8.01	 1.060	 0.01144229	 0.384	  0.573	  8.00	  0.50	  2.7000	 0.9149	 0.01081689	 0.2249	 0.00050339	 0.1171	        NaN	  7.69	  5.63	 2.5686	 0.6148	 0.1000	
m60117c1r5.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 30.00	   1.0	 2.2300	 17.81	 0.5000	  9.34	  8.01	 1.223	 0.00009977	 0.483	  0.599	  8.00	  0.50	  2.9800	 0.8951	 0.01491153	 0.3586	 0.00000435	 0.2481	        NaN	  5.35	 12.46	 2.2324	 0.9000	 0.1000	
m60119c1r5.htb	  30.0	  0.03	 2.000	 10.00	 10.00	 60.00	   0.0	 8.0000	 16.13	 0.5000	  7.61	  3.58	 0.758	 0.00001076	 0.541	  0.549	  8.00	  0.50	  0.0000	 0.9945	 0.00017417	 0.4576	 0.00000007	 0.0700	        NaN	  7.57	 12.49	 20.0000	 1.0462	 0.1000	
m60119c1r5.htb	  30.0	  0.03	 2.000	 10.00	 10.00	 60.00	   1.0	 4.8200	 14.90	 0.5000	  5.79	  3.58	 0.813	 0.00000668	 0.534	  0.578	  8.00	  0.50	  3.1800	 0.9747	 0.00172304	 0.4600	 0.00000006	 0.1151	        NaN	  4.37	 10.53	 4.8236	 1.1325	 0.0010	
m60119c2r5.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   0.0	 6.9600	 19.42	 0.5000	  9.80	  8.35	 0.870	 0.01027069	 0.426	  0.862	  8.00	  0.50	  1.0400	 0.9971	 0.00006495	 0.2932	 0.00021298	 0.0066	        NaN	  9.79	  9.63	 6.9621	 0.7232	 0.0010	
m60119c2r5.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   1.0	 4.7200	 19.72	 0.5000	  7.45	  8.35	 1.160	 0.00026876	 0.512	  0.824	  8.00	  0.50	  3.2800	 0.9689	 0.00234839	 0.4341	 0.00000379	 0.1302	        NaN	  3.39	 16.32	 4.7213	 1.3444	 0.0010	
m60124c1r7.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   0.0	 3.6800	 13.89	 0.5000	  8.74	  5.51	 0.619	 0.00051212	 0.437	  0.481	  8.00	  0.50	  4.0900	 0.9975	 0.00005257	 0.2569	 0.00000646	 0.0028	        NaN	  8.70	  5.19	 3.6789	 0.6372	 0.0010	
m60124c1r7.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   1.0	 3.4200	 14.64	 0.5000	  9.44	  5.51	 0.595	 0.00052621	 0.444	  0.458	  8.00	  0.50	  3.5200	 0.9983	 0.00002880	 0.2565	 0.00000660	 0.0000	        NaN	  9.40	  5.24	 3.4230	 0.5978	 0.0301	
m60124c1r10.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   0.0	 2.8800	 14.38	 0.5000	 10.50	  7.06	 0.531	 0.28779893	 0.297	  0.476	  8.00	  0.50	  1.1900	 0.8464	 0.02684387	 0.0871	 0.03743184	 0.0994	        NaN	 10.50	  3.88	 2.8820	 0.2889	 0.0010	
m60124c1r10.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   1.0	 4.3300	 14.26	 0.5000	 11.10	  7.06	 0.673	 0.20924746	 0.328	  0.568	  8.00	  0.50	  3.6700	 0.7247	 0.06727916	 0.0868	 0.03777663	 0.2248	        NaN	  8.37	  5.90	 4.3338	 1.7394	 0.0010	
m60124c2r2.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 8.0000	  4.89	 0.5000	  3.79	  3.78	 1.778	 0.53291705	 0.203	  0.625	  8.00	  0.50	  0.0000	 0.8909	 0.01582111	 0.0590	 0.08918804	 0.0459	        NaN	  2.83	  2.16	 20.0000	 2.8808	 0.0010	
m60124c2r2.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 3.2700	  5.95	 0.5000	  3.36	  3.78	 1.455	 0.04592093	 0.371	  0.558	  8.00	  0.50	  4.7300	 0.9298	 0.00806938	 0.1768	 0.00236619	 0.0839	        NaN	  3.02	  2.93	 3.2706	 0.8357	 0.1000	
m60124c3r7.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 0.8100	  5.52	 8.0000	  4.82	  3.18	 0.300	 0.79325321	 0.217	  0.304	  8.00	  0.50	  0.4100	 0.8054	 0.03881299	 0.0290	 0.23710583	 0.0370	        NaN	  4.82	  0.70	 0.8088	 0.3118	 0.0840	
m60124c3r7.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 0.5100	  5.37	 0.7100	  5.12	  3.18	 0.214	 0.98861484	 0.113	  0.409	  8.00	  0.50	  0.0400	 0.0421	 0.74073135	 0.0003	 0.90657421	 0.0202	        NaN	  5.12	  0.26	 0.5111	 0.0395	 0.0038	
m60124c4r5.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   0.0	 5.3100	 15.02	 0.5000	  5.65	  3.73	 0.830	 0.00027086	 0.545	  0.498	 16.00	  0.50	  2.7100	 0.9941	 0.00001304	 0.5477	 0.00000057	 0.0436	        NaN	  5.65	  9.36	 5.3132	 0.3424	 0.1000	
m60124c4r5.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   1.0	 4.3000	 12.38	 0.5000	  6.40	  3.73	 0.779	 0.00104088	 0.574	  0.385	 16.00	  0.50	  3.1000	 0.9951	 0.00000918	 0.5502	 0.00000272	 0.2752	        NaN	  6.40	  5.98	 4.3011	 0.4594	 0.0010	
m60124c5r3.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 70.00	   0.0	 3.9600	 16.70	 0.5000	 11.33	  8.33	 0.642	 0.03918188	 0.452	  0.468	  8.00	  0.50	  2.6200	 0.9842	 0.00084607	 0.2655	 0.00130105	 0.0341	        NaN	 11.33	  5.37	 3.9574	 0.4298	 0.0010	
m60124c5r3.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 70.00	   1.0	 2.7800	 16.39	 0.5000	 10.96	  8.33	 0.657	 0.17358249	 0.342	  0.542	  8.00	  0.50	  1.5500	 0.9976	 0.00005150	 0.1801	 0.00989564	 0.0166	        NaN	 10.96	  5.44	 2.7794	 0.3728	 0.0010	
m60213c2r4.htb	 350.0	  0.03	 2.000	  0.00	 15.00	 50.00	   0.0	 7.8800	 10.07	 0.5000	  1.61	  0.60	 0.962	 0.00083461	 0.528	  0.928	 16.00	  0.50	  8.1200	 0.9022	 0.00371073	 0.2837	 0.00001182	 0.3516	        NaN	  0.96	  9.11	 7.8844	 1.1974	 0.0010	
