FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60213c2r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.57	  3.54	 23.64	 23.02	  1.61	 13.84	  0.00		  0.00		 
m60213c3r1.htb	 120.0	  0.03	 2.000	  0.00	  5.00	 40.00	  1.94	 13.85	 19.49	 15.40	  7.44	  2.88	  0.00		  5.00		 
m60220c1r1.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 40.00	  0.55	  0.66	 17.07	 14.26	  5.88	  7.15	  0.00		  0.00		 
m60317c1r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.90	  2.24	 18.66	 15.26	  1.87	  2.18	  0.00		  0.00		 
m60317c2r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.59	  4.93	 19.59	  7.91	 10.18	 19.83	  0.00		  0.00		 
m60404c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.58	  6.53	 26.09	 10.19	  0.28	 -0.42	  0.00		  0.00		 
m60407c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  6.18	 25.59	 18.40	  1.97	 -5.07	  0.00		  0.00		 
m60407c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 11.46	  9.21	 35.96	 25.96	  8.38	  3.57	  0.00		  0.00		 
m60407c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.01	  3.51	 17.24	 19.50	  5.73	 -20.09	  0.00		  0.00		 
m60407c4r1.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	  3.73	 10.55	 18.47	 15.24	 13.71	 -9.45	 10.00		  0.00		 
m60407c5r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.16	  8.78	 15.20	 16.23	 12.24	 -6.56	  0.00		  0.00		 
m60413c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 12.45	 10.05	 14.35	 18.45	  4.73	 -23.20	  0.00		  0.00		 
m60413c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.46	  9.25	 11.35	 13.62	 -9.63	 -4.58	  0.00		  0.00		 
m60413c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.31	  8.56	 13.17	 12.67	 -6.69	 -5.32	  0.00		  0.00		 
m60414c2r1.htb	 250.0	  0.05	 2.000	  0.00	 -8.00	 40.00	  0.38	  5.80	 18.48	 15.72	  2.83	 -3.00	  0.00		 -8.00		 
m60418c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.53	 14.86	 23.36	 20.70	  5.95	 -2.97	  0.00		  0.00		 
m60421c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.33	  6.99	 22.25	 20.30	  3.71	 -1.78	  0.00		  0.00		 
m60421c2r1.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 40.00	  1.32	  5.20	 25.72	 17.50	 16.50	 -2.47	  8.00		  0.00		 
m60421c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.68	 17.35	 24.43	 14.81	  4.86	  3.86	  0.00		  0.00		 
m60424c3r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.08	 23.11	 19.65	 15.12	  8.15	  3.04	  0.00		  0.00		 
m60424c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  1.46	 14.69	 24.47	 15.43	 -1.16	  3.51	  0.00		  0.00		 
m60424c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.43	 17.82	 19.32	 12.98	  2.25	  2.17	  0.00		  0.00		 
m60518c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.56	 10.48	 25.68	 29.05	  6.77	 12.36	  0.00		  0.00		 
m60519c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.00	 10.53	 20.13	 15.73	 -6.12	 -10.36	  0.00		  0.00		 
m60519c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.02	 13.62	 13.90	  8.21	  3.84	  2.24	  0.00		  0.00		 
m60519c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  6.19	 19.23	 17.17	 15.00	  2.23	  1.49	  0.00		  0.00		 
m60519c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  1.87	 11.00	 15.94	 10.72	  3.96	 -0.17	  0.00		  0.00		 
m60519c6r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  3.77	 23.71	 13.01	  9.11	  7.46	  1.15	  0.00		  0.00		 
m60526c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.60	 23.28	 11.97	 13.14	 -0.16	  0.87	  0.00		  0.00		 
m60526c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.77	 23.33	 17.78	 14.32	 -0.23	  1.13	  0.00		  0.00		 
m60526c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.98	 19.02	 15.34	 12.72	  4.01	  7.06	  0.00		  0.00		 
m60526c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.49	 13.06	  9.96	 12.88	  0.52	 -5.10	  0.00		  0.00		 
m60526c5r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  5.32	 11.41	 13.83	 13.15	 -1.26	 -7.00	  0.00		 -10.00		 
m60623c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.98	  9.33	 15.54	 10.60	  3.36	  0.57	  0.00		  0.00		 
m60623c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.43	  6.27	 11.25	 10.91	 -1.04	 -5.08	  0.00		  0.00		 
m60626c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.35	 27.59	 16.46	  9.20	  9.47	 -14.69	  0.00		  0.00		 
m60626c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.61	  8.64	 18.57	 12.67	 -1.93	 -5.10	  0.00		  0.00		 
m60628c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  1.94	  8.45	 19.22	 13.64	  5.83	 -2.42	  0.00		 -5.00		 
m60629c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.51	 16.63	 18.52	 16.64	  6.77	 -11.77	  0.00		  0.00		 
m60629c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.07	 15.35	 14.72	 12.24	 -6.16	 -8.79	  0.00		  0.00		 
m60719c2r1.htb	 170.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.88	  3.09	 16.06	 25.73	  8.23	 -0.42	  0.00		  0.00		 
m60719c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.67	  9.25	 26.16	 25.00	  4.91	  1.43	  0.00		  0.00		 
m60720c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.96	  6.68	 14.89	 15.06	  0.06	  0.71	  0.00		  0.00		 
m60720c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.96	  6.68	 14.89	 15.05	  0.06	  0.71	  0.00		  0.00		 
