FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m80104c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.51	 25.04	 25.20	  7.24	 -7.66	 -0.92	  0.00		  0.00		  3.48		  0.00		
m60321c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.20	  8.14	 25.58	 21.52	 13.51	 -14.38	  0.00		  0.00		  1.19		  0.00		
m60321c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  2.82	  8.06	 17.85	 10.28	 -9.56	 -10.38	  0.00		 -10.00		  1.74		  0.00		
m60321c3r1.htb	 270.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	  7.31	 14.67	 17.68	 12.20	 -5.04	 -12.75	 -5.00		 -5.00		  1.45		 -0.00		
m60322c1r1.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  1.41	  9.33	 14.56	  7.91	  9.72	 -11.22	  0.00		 -10.00		  1.84		  0.00		
m60322c2r1.htb	  60.0	  0.03	 4.000	  5.00	 -10.00	 40.00	  6.84	 16.57	 18.79	  8.86	  6.96	 -10.53	  5.00		 -10.00		  2.12		 -0.00		
m60322c3r1.htb	   0.0	  0.03	 4.000	  0.00	 -10.00	 40.00	  7.58	 16.70	 24.05	 16.18	 -0.47	 -9.43	  0.00		 -10.00		  1.49		 -0.00		
m60323c1r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  1.04	  1.87	 25.13	 13.56	 -9.94	 -17.94	  0.00		 -10.00		  1.85		  0.00		
m60323c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  3.09	 23.35	 11.25	  8.51	 11.37	 -20.21	  0.00		 -10.00		  1.32		  0.00		
m60323c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  5.15	  6.39	 10.57	  8.70	  2.75	 -14.81	  0.00		 -10.00		  1.22		 -0.00		
m60324c1r1.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  6.25	 22.50	 29.62	 17.99	  2.05	 -3.13	  0.00		 -10.00		  1.65		  0.00		
m60324c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	 14.36	 70.54	 24.23	  6.70	 30.00	 -8.55	  0.00		 -5.00		  3.62		 -0.00		
m60324c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  9.95	 20.30	 24.75	 16.63	 -1.37	 -5.66	  0.00		 -5.00		  1.49		 -0.00		
m60405c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.56	 10.00	 16.90	 11.15	 -3.60	 -4.87	  0.00		  0.00		  1.52		  0.00		
m60405c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  7.42	 16.79	 18.84	  7.21	 -7.54	 -7.29	  0.00		 -5.00		  2.61		  0.00		
m60405c3r1.htb	 270.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	  5.24	 15.91	 14.66	  8.88	 -5.91	 -17.21	 -5.00		 -5.00		  1.65		  0.00		
m60405c4r1.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 40.00	  6.27	  8.49	 19.11	 17.87	 -2.47	 -9.04	  0.00		 -15.00		  1.07		 -0.00		
m60406c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.52	 10.90	 14.87	  8.94	  5.21	 -1.50	  0.00		  0.00		  1.66		  0.00		
m60406c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 13.42	 11.76	 20.88	 13.78	 -4.02	 -7.18	  0.00		  0.00		  1.51		  0.00		
m60406c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.98	 18.19	 19.68	 17.02	  4.66	 -10.81	  0.00		  0.00		  1.16		 -0.00		
m60411c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.15	  3.57	 17.01	 16.45	  0.55	  3.33	  0.00		  0.00		  1.03		  0.00		
