FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		
m60112c1r1.htb	   45.0	  20.00	  0.000	   0.00	   0.00	  30.00	   4.44	  0.218	   9.95	   1.63	 272.36	  87.64	  87.64	 135.12	  0.228	 0.66953866	  0.203	 0.22369344	  0.013	 0.21897035	 0.2945	  0.772	  0.38732	 0.98350173	
m60112c2r2.htb	   45.0	  20.00	  0.000	   8.00	   5.00	  30.00	   7.11	  0.087	  14.52	   0.86	 219.53	 140.47	  39.53	  42.39	  0.104	 0.98981725	  0.274	 0.14789752	  0.004	 0.56106877	 0.1492	  0.509	  0.16071	 0.99693949	
m60117c1r8.htb	   90.0	   5.00	  0.000	   0.00	   0.00	  30.00	   6.77	  0.182	   8.38	   2.73	 112.83	 112.83	  67.17	 432.95	  0.629	 0.74608832	  0.125	 0.35116198	  0.027	 0.14187710	 0.2363	  0.533	  0.23202	 0.99376926	
m60119c1r9.htb	   45.0	  30.00	  0.000	   0.00	   0.00	  60.00	   5.47	  0.405	   5.57	   2.36	  76.14	  76.14	  76.14	 123.65	  0.962	 0.12689544	  0.724	 0.00363341	  0.099	 0.00445302	 0.4002	  0.529	  0.40381	 0.98216338	
m60119c2r6.htb	   45.0	  30.00	  0.000	   0.00	  10.00	  40.00	   8.26	  0.160	  12.00	   1.67	  42.76	  42.76	  42.76	 118.51	  0.309	 0.82976836	  0.557	 0.02088889	  0.017	 0.15292090	 0.1888	  0.724	  0.08752	 0.99906994	
m60124c1r4.htb	    0.0	  20.00	  0.000	   0.00	  10.00	  70.00	   4.78	  0.319	   6.54	   3.98	  18.31	  18.31	  18.31	  42.39	  0.694	 0.09503207	  0.815	 0.00085536	  0.123	 0.00142770	 0.3767	  0.437	  0.17107	 0.99654413	
m60124c2r7.htb	    0.0	  30.00	  0.000	   0.00	  10.00	  70.00	   2.09	  0.353	   0.61	   0.90	  17.68	  17.68	  17.68	 247.61	 -1.527	 0.94639539	  0.482	 0.03809398	  0.025	 0.32568752	 0.3799	  0.440	  1.24395	 0.87081124	
m60124c3r2.htb	   50.0	  30.00	  0.000	  -5.00	  20.00	  70.00	   6.67	  0.227	   8.76	   1.72	 324.58	  35.42	  35.42	  44.63	  0.451	 0.65476469	  0.401	 0.06706050	  0.027	 0.14802272	 0.2653	  0.531	  0.32294	 0.98828528	
m60124c4r8.htb	    0.0	  30.00	  0.000	  10.00	  -5.00	  70.00	   2.04	  0.352	   2.57	   1.58	 351.45	   8.55	   8.55	 114.08	  0.749	 0.56790725	  0.908	 0.00007140	  0.067	 0.02050729	 0.2714	  0.580	  0.11336	 0.99845306	
m60124c5r6.htb	    0.0	  30.00	  0.000	   0.00	   0.00	  70.00	   8.36	  0.312	  10.75	   5.38	 199.87	 160.13	  19.87	  42.39	  0.692	 0.32076273	  0.543	 0.02355067	  0.055	 0.03673755	 0.3457	  0.610	  0.37615	 0.98438271	
