FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		
m70723c1r7.htb	    0.0	  20.00	  0.000	  -8.00	  -8.00	  30.00	   0.60	  0.380	   2.06	   0.98	 257.07	 102.93	  77.07	  56.69	  0.402	 0.85831629	  0.515	 0.02957337	  0.028	 0.13514991	 0.2349	  0.718	  0.08755	 0.99906939	
m70523c2r7.htb	    0.0	  30.00	  0.000	   0.00	   0.00	  40.00	   1.49	  0.333	   2.89	   0.68	 340.18	  19.82	  19.82	 115.60	  0.327	 0.46863959	  0.339	 0.09968011	  0.023	 0.17592875	 0.2909	  0.455	  0.51510	 0.97201421	
m70523c3r7.htb	    0.0	  30.00	  0.000	   0.00	   0.00	  40.00	  11.09	  0.121	  21.11	   2.74	 277.28	  82.72	  82.72	 218.40	  0.215	 0.63875443	  0.623	 0.01138335	  0.043	 0.06600710	 0.2474	  0.485	  0.24789	 0.99292479	
m70524c1r7.htb	    0.0	  20.00	  0.000	   0.00	 -15.00	  40.00	   4.85	  0.202	  10.10	   0.87	   8.22	   8.22	   8.22	 194.07	  0.142	 0.68998251	  0.226	 0.19639019	  0.008	 0.27070271	 0.1980	  0.662	  0.17353	 0.99644674	
m70524c3r7.htb	    0.0	  30.00	  0.000	   0.00	   5.00	  30.00	   0.55	  0.390	   1.23	   0.95	 239.91	 120.09	  59.91	  42.39	  0.582	 0.69153314	  0.761	 0.00214661	  0.047	 0.05458218	 0.3378	  0.428	  0.33659	 0.98733104	
m70525c1r7.htb	    0.0	  30.00	  0.000	   0.00	  -5.00	  40.00	   0.65	  0.257	   9.21	   1.93	  48.78	  48.78	  48.78	  42.39	  0.184	 0.52893164	  0.430	 0.05517201	  0.035	 0.09493094	 0.2957	  0.546	  0.33660	 0.98733096	
m70529c1r7.htb	    0.0	  20.00	  0.000	 -10.00	   8.00	  40.00	   0.70	  0.592	   1.29	   1.55	 206.85	 153.15	  26.85	  42.39	  0.722	 0.57096381	  0.230	 0.19169626	  0.021	 0.20391510	 0.3427	  0.652	  0.44340	 0.97877171	
m70529c2r7.htb	    0.0	  20.00	  0.000	   5.00	   5.00	  25.00	   3.73	  0.220	  13.53	   1.64	 321.93	  38.07	  38.07	 184.51	  0.143	 0.51458380	  0.292	 0.13271073	  0.023	 0.18118022	 0.3072	  0.527	  0.50157	 0.97334751	
m70530c1r7.htb	    0.0	  20.00	  0.000	 -10.00	   5.00	  32.00	   0.10	  0.623	   0.96	   1.35	 355.34	   4.66	   4.66	  85.71	  0.611	 0.08485644	  0.598	 0.01445409	  0.089	 0.00718211	 0.3475	  0.654	  0.60571	 0.96242659	
m70601c1r7.htb	    0.0	  20.00	  0.000	   0.00	 -15.00	  30.00	   5.07	  0.186	   6.03	   1.46	  71.64	  71.64	  71.64	  42.39	  0.604	 0.91979712	  0.516	 0.02933806	  0.020	 0.21588592	 0.2426	  0.443	  0.14583	 0.99746729	
m70605c1r7.htb	    0.0	  20.00	  0.000	   5.00	  12.00	  30.00	   0.00	  0.478	   0.49	   0.56	 296.64	  63.36	  63.36	  42.39	  0.534	 0.87252445	  0.510	 0.03056304	  0.020	 0.20649827	 0.2275	  0.567	  0.13417	 0.99784796	
m70607c1r7.htb	    0.0	  20.00	  0.000	   5.00	  -2.00	  30.00	   0.35	  0.280	   1.78	   0.53	  42.29	  42.29	  42.29	  42.39	  0.269	 0.89429275	  0.393	 0.07075510	  0.020	 0.21186729	 0.2268	  0.457	  0.09258	 0.99896103	
m70607c2r7.htb	    0.0	  20.00	  0.000	   5.00	  -8.00	  20.00	   0.00	  0.437	   5.17	   2.55	   1.57	   1.57	   1.57	  76.17	  0.330	 0.25434242	  0.687	 0.00576878	  0.082	 0.00995134	 0.3955	  0.569	  0.25482	 0.99254106	
m70607c3r7.htb	    0.0	  20.00	  0.000	   5.00	 -10.00	  20.00	   3.33	  0.180	  23.87	   2.09	 250.00	 110.00	  70.00	 111.57	  0.093	 0.44915542	  0.112	 0.37958181	  0.018	 0.24035855	 0.3190	  0.589	  0.77816	 0.94135246	
m70608c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  60.00	   0.70	  0.174	   3.52	   0.58	  63.97	  63.97	  63.97	  91.97	  0.171	 0.98943941	  0.220	 0.20316440	  0.004	 0.56484119	 0.1762	  0.532	  0.06873	 0.99942283	
m70608c1r20.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  60.00	   2.54	  0.352	   3.42	   1.55	 340.11	  19.89	  19.89	  42.39	  0.637	 0.31471877	  0.443	 0.05046175	  0.045	 0.05939595	 0.3243	  0.381	  0.66036	 0.95612542	
m70609c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  70.00	   3.83	  0.265	   6.36	   1.16	  17.03	  17.03	  17.03	 145.14	  0.314	 0.01930826	  0.409	 0.06368067	  0.063	 0.02444502	 0.4035	  0.296	  1.69020	 0.79249724	
m70609c1r17.htb	    0.0	  20.00	  0.000	   8.00	  -5.00	  40.00	   4.98	  0.274	   6.06	   1.82	 323.03	  36.97	  36.97	  85.88	  0.627	 0.04238505	  0.785	 0.00146416	  0.141	 0.00060867	 0.3983	  0.311	  0.44863	 0.97830521	
m70609c2r7.htb	    0.0	  20.00	  0.000	   0.00	   8.00	  30.00	   1.54	  0.424	   2.41	   0.93	 207.54	 152.46	  27.54	  42.39	  0.517	 0.05159654	  0.097	 0.41333319	  0.021	 0.19457445	 0.3689	  0.344	  1.30606	 0.86034655	
m70609c2r17.htb	    0.0	  20.00	  0.000	 -10.00	  10.00	  40.00	   1.64	  0.473	   1.47	   1.16	  47.34	  47.34	  47.34	  52.04	  1.172	 0.02519542	  0.724	 0.00361756	  0.140	 0.00061758	 0.3940	  0.415	  0.28581	 0.99071144	
m70611c2r7.htb	    0.0	  20.00	  0.000	   0.00	  -3.00	  30.00	  12.49	  0.252	  22.51	   8.69	 281.84	  78.16	  78.16	 169.77	  0.464	 0.00162131	  0.931	 0.00002607	  0.253	 0.00000201	 0.4449	  0.482	  0.15937	 0.99698900	
m70611c2r17.htb	    0.0	  20.00	  0.000	   0.00	  -3.00	  30.00	  12.24	  0.163	  23.03	   3.47	   2.18	   2.18	   2.18	 269.53	  0.243	 0.36186913	  0.466	 0.04277502	  0.063	 0.02527493	 0.3275	  0.474	  0.43329	 0.97966142	
m70611c1r7.htb	    0.0	  20.00	  0.000	  -5.00	 -10.00	  30.00	   0.75	  0.193	   7.00	   1.31	 317.72	  42.28	  42.28	  94.97	  0.173	 0.86640369	  0.773	 0.00177731	  0.036	 0.09383454	 0.2333	  0.465	  0.06375	 0.99950273	
m70611c1r17.htb	    0.0	  20.00	  0.000	  -5.00	 -10.00	  30.00	   1.39	  0.245	   7.17	   2.01	 267.47	  92.53	  87.47	  90.14	  0.258	 0.31481451	  0.603	 0.01380491	  0.060	 0.02827601	 0.3022	  0.490	  0.24469	 0.99309896	
m70612c1r7.htb	    0.0	  20.00	  0.000	   0.00	  -8.00	  30.00	   5.42	  0.196	  19.74	   3.07	  58.52	  58.52	  58.52	  42.39	  0.177	 0.75689894	  0.379	 0.07748206	  0.022	 0.19400515	 0.2921	  0.626	  0.33596	 0.98737577	
m70612c1r17.htb	    0.0	  20.00	  0.000	   0.00	  -8.00	  30.00	   7.86	  0.116	  18.17	   2.81	 255.94	 104.06	  75.94	 223.05	  0.214	 0.97437706	  0.600	 0.01428452	  0.019	 0.21965648	 0.1719	  0.675	  0.01732	 0.99996270	
m70612c2r7.htb	    0.0	  20.00	  0.000	   0.00	  -7.00	  30.00	   5.72	  0.354	  10.25	   7.06	 280.74	  79.26	  79.26	 275.89	  0.609	 0.00456241	  0.847	 0.00043257	  0.195	 0.00004030	 0.4918	  0.436	  0.41103	 0.98156431	
m70612c2r17.htb	    0.0	  20.00	  0.000	   0.00	  -7.00	  30.00	   7.21	  0.291	  14.11	   4.77	 277.76	  82.24	  82.24	 135.90	  0.409	 0.02271504	  0.781	 0.00157148	  0.158	 0.00026639	 0.3841	  0.517	  0.36860	 0.98496620	
m70613c2r7.htb	    0.0	  20.00	  0.000	   5.00	   0.00	  40.00	   3.28	  0.279	   5.32	   1.88	 209.99	 150.01	  29.99	  42.39	  0.481	 0.11871398	  0.544	 0.02340585	  0.078	 0.01220395	 0.3794	  0.330	  0.44575	 0.97856313	
m70613c2r17.htb	    0.0	  20.00	  0.000	   5.00	   0.00	  40.00	   4.33	  0.341	   5.32	   1.06	 226.60	 133.40	  46.60	 160.56	  0.517	 0.08748619	  0.306	 0.12266028	  0.043	 0.06522930	 0.4430	  0.329	  0.99472	 0.91059504	
m70613c1r7.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  50.00	   1.59	  0.292	   1.68	   1.42	 347.06	  12.94	  12.94	 654.29	  0.939	 0.65556057	  0.167	 0.27555651	  0.043	 0.06489738	 0.3047	  0.364	  0.26257	 0.99210060	
m70613c1r17.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  50.00	   2.94	  0.276	   2.43	   1.79	 311.51	  48.49	  48.49	 273.91	  1.395	 0.32265632	  0.734	 0.00316999	  0.072	 0.01611963	 0.3106	  0.368	  0.33209	 0.98764937	
m70618c1r7.htb	    0.0	  20.00	  0.000	   8.00	   3.00	  30.00	   6.32	  0.315	   8.19	   1.57	  23.04	  23.04	  23.04	 247.68	  0.457	 0.20889712	  0.034	 0.63625423	  0.015	 0.28540371	 0.3882	  0.474	  1.16511	 0.88380836	
