FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		

m52311c1r7.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   0.80	  0.292	   1.50	   0.45	  19.51	  19.51	  19.51	  44.17	  0.388	 0.97630574	  0.641	 0.00956772	  0.015	 0.28658884	 0.1521	  0.610	  0.08954	 0.99902729	
m52311c1r7.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   0.80	  0.292	   1.50	   0.45	  19.49	  19.49	  19.49	  44.28	  0.387	 0.97630574	  0.641	 0.00956535	  0.015	 0.28657742	 0.1521	  0.610	  0.08953	 0.99902735	
m52311c2r6.htb	    0.0	  32.00	  0.000	   0.00	   0.00	  40.00	   0.65	  0.436	   0.03	   1.27	 210.37	 149.63	  30.37	 378.69	  1.959	 0.90265802	  0.501	 0.03284067	  0.017	 0.24470790	 0.2492	  0.690	  0.11014	 0.99853821	
m52311c2r7.htb	  170.0	  32.00	  0.000	   0.00	   0.00	  40.00	   0.05	  0.714	   0.42	   1.00	 203.47	 156.53	  23.47	  42.39	  0.728	 0.39376814	  0.460	 0.04454524	  0.047	 0.05359811	 0.3110	  0.634	  0.61536	 0.96134110	
m52311c3r7.htb	    0.0	  32.00	  0.000	 -10.00	  10.00	  40.00	   0.60	  0.509	   3.03	   1.97	  96.94	  96.94	  83.06	  42.39	  0.447	 0.09716151	  0.607	 0.01336609	  0.090	 0.00680130	 0.3405	  0.607	  1.57318	 0.81360429	
m71411c2r7.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   0.87	  0.448	   1.28	   0.80	  23.00	  23.00	  23.00	  42.39	  0.660	 0.90727509	  0.219	 0.20352602	  0.011	 0.43875272	 0.2627	  0.592	  0.20728	 0.99498624	
m71411c3r8.htb	    0.0	  32.00	  0.000	   0.00	   0.00	  40.00	   2.89	  0.349	   4.93	   0.26	 105.56	 105.56	  74.44	 244.50	  0.114	 0.77573678	  0.036	 0.62674101	  0.000	 0.89326658	 0.2869	  0.647	  0.63995	 0.95852241	
m71411c3r8.htb	    0.0	  32.00	  0.000	   0.00	   0.00	  40.00	   2.89	  0.349	   4.93	   0.27	  97.99	  97.99	  82.01	 245.75	  0.116	 0.77573678	  0.034	 0.63627300	  0.000	 0.90712130	 0.2869	  0.647	  0.63850	 0.95869075	
m71511c1r7.htb	    0.0	  32.00	  0.000	  10.00	 -10.00	  40.00	   4.03	  0.405	   4.03	   1.46	 185.78	 174.22	   5.78	  42.39	  0.999	 0.80156770	  0.227	 0.19437401	  0.016	 0.26617124	 0.2355	  0.965	  0.29272	 0.99027935	
m71511c2r7.htb	    0.0	  32.00	  0.000	  20.00	 -30.00	  40.00	   9.67	  0.368	   7.59	   3.32	  64.03	  64.03	  64.03	  42.39	  2.666	 0.74999439	  0.462	 0.04412696	  0.042	 0.15494456	 0.3035	  0.787	  1.23653	 0.87204773	
m72111c1r7.htb	    0.0	  32.00	  0.000	   5.00	 -10.00	  40.00	   2.59	  0.265	   5.33	   1.21	 355.51	   4.49	   4.49	  42.39	  0.307	 0.88995291	  0.326	 0.10833202	  0.013	 0.31284457	 0.2683	  0.654	  0.26875	 0.99174099	
m72111c2r7.htb	    0.0	  32.00	  0.000	   0.00	 -10.00	  40.00	   2.24	  0.463	   5.32	   2.90	 265.39	  94.61	  85.39	  42.39	  0.485	 0.26451861	  0.604	 0.01377312	  0.177	 0.01636815	 0.4688	  0.435	  2.50209	 0.64426118	
m72111c2r77.htb	    0.0	  32.00	  0.000	   0.00	 -10.00	  40.00	   1.49	  0.377	   4.68	   2.96	 252.66	 107.34	  72.66	  42.39	  0.481	 0.48550764	  0.688	 0.00571156	  0.059	 0.03005272	 0.3263	  0.580	  0.24677	 0.99298618	
m72111c3r7.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   0.44	  0.667	   0.91	   2.10	 252.57	 107.43	  72.57	  42.39	  0.815	 0.09852870	  0.603	 0.01382849	  0.131	 0.00575829	 0.4236	  0.517	  1.67110	 0.79596097	
m72111c3r77.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   0.40	  0.561	   0.88	   1.72	 251.61	 108.39	  71.61	  42.39	  0.780	 0.18913092	  0.692	 0.00540041	  0.087	 0.00784099	 0.3491	  0.522	  0.27594	 0.99131401	
m80511c1r7.htb	    0.0	  32.00	  0.000	  -5.00	  10.00	  40.00	   0.65	  0.602	   1.42	   2.31	  28.59	  28.59	  28.59	  42.39	  0.748	 0.34632723	  0.592	 0.01527584	  0.070	 0.02332418	 0.3311	  0.734	  0.25497	 0.99253256	
m80511c2r6.htb	   50.0	  32.00	  0.000	  10.00	  10.00	  40.00	   1.09	  0.657	   2.30	   0.00	 199.02	 160.98	  19.02	 317.75	  0.000	 0.45725658	 -0.000	        NaN	  0.000	        NaN	 0.3647	  0.734	  1.27776	 0.86513694	
