FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		
m82013c1r7.htb	    0.0	  32.00	  0.000	 -10.00	  10.00	  40.00	   0.25	  0.400	   0.05	   0.60	  26.19	  26.19	  26.19	 439.23	  1.486	 0.96206533	  0.603	 0.01381757	  0.016	 0.26711378	 0.2105	  0.580	  0.07581	 0.99929951	
m72213c2r7.htb	    0.0	  32.00	  0.000	  10.00	  10.00	  40.00	   2.14	  0.592	   1.89	   3.16	 284.92	  75.08	  75.08	 150.82	  1.087	 0.00000187	  0.883	 0.00016684	  0.354	 0.00000001	 0.5092	  0.409	  0.63268	 0.95936360	
m20714c1r7.htb	    0.0	  32.00	  0.000	  -5.00	 -10.00	  40.00	   2.99	  0.250	   3.16	   2.24	 336.84	  23.16	  23.16	 487.70	  0.928	 0.95403924	  0.420	 0.05899677	  0.029	 0.35592968	 0.2811	  0.438	  0.87849	 0.92762650	
m20714c2r7.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   7.61	  0.228	   6.73	   3.88	 347.92	  12.08	  12.08	 530.68	  1.296	 0.71028097	  0.416	 0.06082244	  0.043	 0.06491807	 0.2844	  0.524	  0.12904	 0.99800593	
m20714c2r77.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   7.26	  0.290	   8.78	   2.30	  44.78	  44.78	  44.78	 110.35	  0.603	 0.81329699	  0.378	 0.07783819	  0.058	 0.16192530	 0.3052	  0.611	  0.41876	 0.98091234	
m21914c1r7.htb	    0.0	  32.00	  0.000	  -5.00	   5.00	  40.00	   3.81	  0.510	   5.32	   2.93	  51.20	  51.20	  51.20	  42.39	  0.661	 0.50146653	  0.340	 0.09945104	  0.124	 0.09201907	 0.4635	  0.500	  2.43578	 0.65617038	
m21914c2r77.htb	    0.0	  32.00	  0.000	 -10.00	  10.00	  40.00	   0.40	  0.533	   0.32	   0.22	 205.68	 154.32	  25.68	  42.39	  1.620	 0.90617644	  0.170	 0.27020909	  0.006	 0.48901072	 0.2399	  0.540	  0.39406	 0.98296070	
m21914c2r88.htb	    0.0	  32.00	  0.000	 -10.00	  10.00	  40.00	   0.40	  0.533	   0.32	   0.22	 205.68	 154.32	  25.68	  42.39	  1.620	 0.90617644	  0.170	 0.27020918	  0.006	 0.48901079	 0.2399	  0.540	  0.39406	 0.98296070	
m22614c3r7.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   1.41	  0.636	   1.79	   1.13	 145.69	 145.69	  34.31	 121.16	  0.748	 0.50637926	  0.533	 0.02544583	  0.086	 0.05610702	 0.3942	  0.507	  1.45066	 0.83534422	
m22614c3r77.htb	    0.0	  32.00	  0.000	 -10.00	 -10.00	  40.00	   1.29	  0.459	   1.98	   1.06	 117.31	 117.31	  62.69	  90.23	  0.606	 0.45455275	  0.739	 0.00296801	  0.067	 0.02619064	 0.2959	  0.495	  0.14923	 0.99735108	
