FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 CMI		 AnovaP	 SFDI  	 VarTerm	 MaxX 	 MinX 	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Rmax			 C50		 n		 Offset	 Halfmax_slope	
m70108c1r5.htb	   0.0	  0.03	 2.000	 20.00	 -15.00	 40.00	   0.0	 0.9550	 16.68	 0.0150	  5.16	  5.37	 1.073	 0.00000000	 0.647	  0.501	  0.96	  0.01	  0.9917	 0.0000	 0.66114963	 0.0000	 0.10716847	 0.9910	 17.26368159	 40.45	  1.00	 4.5442	 24.5594	 
m70110c1r5.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   0.0	 0.9550	  7.97	 0.0150	  5.80	  6.19	 1.221	 0.86660538	 0.160	  1.413	  0.96	  0.01	  0.6518	 0.0281	 0.01203944	 0.1969	 0.02327963	 0.9991	 2.20089088	 38.86	  4.51	 5.8031	 2.9254	 
m70110c2r5.htb	   0.0	  0.03	 2.000	 10.00	 -15.00	 40.00	   0.0	 0.9550	  4.88	 0.0150	  1.12	  1.09	 0.993	 0.00006038	 0.505	  0.716	  0.96	  0.01	  0.9068	 0.0009	 0.32689478	 0.0000	 0.47245775	 0.9249	 3.80755526	 41.32	  5.22	 1.1207	 4.6966	 
m70110c3r5.htb	  90.0	  0.03	 2.000	 10.00	 -15.00	 40.00	   0.0	 0.9550	  5.69	 0.0150	  0.63	  1.69	 1.290	 0.00000055	 0.573	  0.650	  0.96	  0.01	  0.9280	 0.0005	 0.42396548	 0.0000	 0.52793316	 0.9127	 6.61691542	 37.00	  1.33	 0.5336	 9.5273	 
m70111c1r5.htb	  90.0	  0.03	 2.000	 20.00	  5.00	 50.00	   0.0	 0.9550	  5.51	 0.0150	  4.06	  3.93	 0.915	 0.08249787	 0.376	  0.420	  0.96	  0.01	  0.5047	 0.0736	 0.07990961	 0.0177	 0.75711338	 0.8597	 1.55122835	 38.04	  2.85	 4.0641	 2.0278	 
m70112c1r5.htb	 120.0	  0.03	 2.000	  0.00	  0.00	 50.00	   0.0	 0.9550	  5.27	 0.0150	  2.95	  2.74	 0.914	 0.01159563	 0.444	  0.468	  0.96	  0.01	  0.8853	 0.0016	 0.19796456	 0.0001	 0.38666778	 0.9430	 3.22141347	 74.67	  3.83	 2.9539	 1.8287	 
m70116c1r5.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  8.06	 0.0150	  2.93	  2.84	 0.982	 0.00401358	 0.367	  1.238	  0.96	  0.01	  0.8564	 0.0028	 0.11295300	 0.0000	 0.14063016	 0.9866	 5.13532126	 44.89	 10.00	 2.9276	 6.0931	 
m70117c1r5.htb	 150.0	  0.03	 2.000	 15.00	 -5.00	 40.00	   0.0	 0.9550	  5.20	 0.0150	  2.30	  2.54	 1.088	 0.05013921	 0.368	  0.776	  0.96	  0.01	  0.9352	 0.0004	 0.16472861	 0.0005	 0.10884714	 0.9908	 2.99797620	 47.44	  4.75	 2.3037	 3.1990	 
m70117c2r5.htb	  30.0	  0.03	 2.000	 20.00	 -10.00	 50.00	   0.0	 0.9550	 12.20	 0.0150	  6.23	  6.72	 1.119	 0.00000004	 0.579	  0.403	  0.96	  0.01	  0.9204	 0.0006	 0.46307575	 0.0000	 0.53411409	 0.9113	 12.28855721	 95.68	  1.03	 6.0630	 8.8854	 
m70117c3r5.htb	  60.0	  0.03	 2.000	 20.00	 -20.00	 50.00	   0.0	 0.9550	 25.04	 0.0150	 19.11	 20.04	 1.188	 0.01312122	 0.504	  0.457	  0.96	  0.01	  0.8535	 0.0030	 0.30213564	 0.0002	 0.97261879	 0.8079	 5.93870058	 19.90	  4.72	 19.1055	 15.8910	 
