FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 CMI		 AnovaP	 SFDI  	 VarTerm	 MaxX 	 MinX 	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Rmax			 C50		 n		 Offset	 Halfmax_slope	
m32515c2r5.htb	   0.0	  0.08	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  1.14	 0.0150	  0.88	  1.18	 -6.458	 0.91352030	 0.268	  0.613	  0.96	  0.01	  0.0143	 0.7984	 0.00038704	 0.8899	 0.29066534	 0.9618	 0.26229413	 19.01	 10.00	 0.8787	 0.7783	 
m32515c2r6.htb	   0.0	  0.08	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  1.14	 0.0150	  0.88	  1.18	 -6.458	 0.91352030	 0.268	  0.613	  0.96	  0.01	  0.0143	 0.7984	 0.00038704	 0.8899	 0.29066532	 0.9618	 0.26229402	 19.01	 10.00	 0.8787	 0.7783	 
m32615c1r5.htb	 180.0	  0.30	 8.000	 -5.00	 -20.00	 40.00	   0.0	 0.9550	  0.42	 0.0150	  0.34	  1.00	 -0.152	 0.74486985	 0.197	  0.548	  0.96	  0.01	  0.2177	 0.2912	 0.01139764	 0.3790	 0.14554999	 0.9859	 0.08645720	 34.82	 10.00	 0.3383	 0.1354	 
m32615c2r5.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  1.38	 0.0150	  1.38	  2.59	 -0.000	 0.72595500	 0.260	  0.604	  0.96	  0.01	  0.9092	 0.0009	 0.04946881	 0.0642	 0.70689260	 0.8716	 0.00000001	 42.34	  0.93	 1.3757	 0.0000	 
m50615c1r5.htb	   0.0	  0.03	 8.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  0.19	 0.0150	  0.19	  0.36	 -0.000	 0.39833896	 0.325	  0.481	  0.96	  0.01	  0.1927	 0.3244	 0.02854714	 0.2562	 0.63066701	 0.8894	 0.00000000	 41.79	  4.69	 0.1873	 0.0000	 
m50715c1r5.htb	  50.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  2.28	 0.0150	  1.94	  2.10	 1.865	 0.94689190	 0.248	  0.616	  0.96	  0.01	  0.0166	 0.7834	 0.00047790	 0.8718	 0.29554888	 0.9609	 0.87270552	 99.97	 10.00	 1.9437	 0.2095	 
m50715c2r5.htb	 120.0	  0.16	 4.000	 10.00	 -10.00	 40.00	   0.0	 0.9550	  1.20	 0.0150	  0.60	  0.68	 1.173	 0.66954708	 0.272	  0.556	  0.96	  0.01	  0.6074	 0.0388	 0.05182142	 0.1046	 0.13580063	 0.9872	 0.60088173	 50.15	 10.00	 0.5955	 0.6216	 
m50715c2r55.htb	 120.0	  0.16	 4.000	 10.00	 -10.00	 40.00	   0.0	 0.9550	  1.03	 0.0150	  0.40	  0.55	 1.311	 0.29897845	 0.314	  0.561	  0.96	  0.01	  0.6521	 0.0281	 0.06880089	 0.0283	 0.23453983	 0.9718	 0.63634961	 46.73	 10.00	 0.3963	 0.7321	 
m50815c1r5.htb	 240.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 0.9550	  0.17	 0.0150	  0.17	  0.55	 -0.000	 0.55877790	 0.330	  0.517	  0.96	  0.01	  0.6063	 0.0391	 0.05411047	 0.0789	 1.88943290	 0.5957	 0.00000000	 38.12	  1.66	 0.1713	 0.0000	 
m50815c2r5.htb	 150.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9550	  0.86	 0.0150	  0.74	  2.19	 -0.088	 0.58587884	 0.197	  0.787	  0.96	  0.01	  0.3450	 0.1656	 0.02396059	 0.2007	 0.16492593	 0.9830	 0.30205576	 99.98	 10.00	 0.7409	 0.0724	 
