FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 ModIx	 AnovaP	 DDI  	 VarTerm	 MSgrp	 MSerror	 MaxX 	 MinX 	 MaxLoc	 HWHM	
m70723c1r4.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 30.00	   0.0	 176.00	  3.51	 330.00	  2.09	  2.98	  0.80	 0.432	 0.18562960	 0.405	  0.465	      0.301	      0.216	 330.00	  0.00	 9999.00	 9999.00	
m70523c2r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 70.00	   0.0	 50.00	  8.26	 107.00	  3.47	  5.17	  0.80	 0.617	 0.00000008	 0.553	  0.428	      1.135	      0.183	 330.00	  0.00	 50.00	 21.00	
m70523c3r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 75.00	 37.88	 170.00	 28.61	 32.66	 17.96	 0.296	 0.00000000	 0.556	  0.402	      1.353	      0.162	 330.00	  0.00	 75.00	 42.00	
m70524c1r4.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 40.00	   0.0	 135.00	 14.28	 168.00	  9.08	 11.82	  1.29	 0.403	 0.00003372	 0.502	  0.428	      0.773	      0.183	 330.00	  0.00	 135.00	 13.00	
m70524c3r4.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 30.00	   0.0	 15.00	  3.54	 99.00	  2.82	  3.12	  0.20	 0.329	 0.43082122	 0.318	  0.353	      0.128	      0.125	 330.00	  0.00	 9999.00	 9999.00	
m70525c1r4.htb	   0.0	  0.03	 1.000	  0.00	 -5.00	 40.00	   0.0	  0.00	 17.04	 167.00	 12.02	 14.66	  1.14	 0.371	 0.00000171	 0.519	  0.419	      0.908	      0.175	 330.00	  0.00	  0.00	 75.00	
m70525c1r11.htb	   0.0	  0.03	 1.000	  0.00	 -5.00	 70.00	   0.0	  0.00	 11.82	 160.00	  6.94	  9.65	  1.29	 0.576	 0.00000003	 0.604	  0.423	      1.170	      0.179	 330.00	  0.00	  0.00	 71.00	
m70529c1r4.htb	   0.0	  0.03	 2.000	 -10.00	  8.00	 40.00	   0.0	 285.00	  2.10	 76.00	  1.21	  1.80	  0.15	 0.520	 0.44851926	 0.351	  0.578	      0.335	      0.334	 330.00	  0.00	 9999.00	 9999.00	
m70529c2r4.htb	   0.0	  0.03	 2.000	  5.00	  5.00	 25.00	   0.0	 255.00	 19.02	 154.00	 11.99	 15.54	  3.13	 0.409	 0.00231180	 0.474	  0.583	      0.981	      0.340	 330.00	  0.00	 255.00	 52.00	
m70529c3r4.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   0.0	 135.00	 25.09	 210.00	 10.78	 13.22	  5.25	 0.341	 0.57646623	 0.330	  0.943	      0.769	      0.889	 330.00	  0.00	 9999.00	 9999.00	
m70530c1r4.htb	   0.0	  0.03	 2.000	 -10.00	  5.00	 20.00	   0.0	 285.00	  1.45	 17.00	  0.65	  1.21	  0.15	 0.485	 0.98152717	 0.245	  0.734	      0.169	      0.539	 330.00	  0.00	 9999.00	 9999.00	
m70601c1r4.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 30.00	   0.0	 165.00	  8.91	 120.00	  6.95	  7.91	  1.94	 0.342	 0.10934564	 0.393	  0.432	      0.298	      0.186	 330.00	  0.00	 9999.00	 9999.00	
m70601c1r12.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 30.00	   0.0	 225.00	 12.37	 194.00	  9.12	 10.81	  3.13	 0.289	 0.78318038	 0.287	  0.690	      0.309	      0.477	 330.00	  0.00	 9999.00	 9999.00	
m70605c1r4.htb	   0.0	  0.03	 2.000	  5.00	 12.00	 30.00	   0.0	 19.00	  5.72	 279.00	  3.13	  4.46	  0.60	 0.504	 0.01507115	 0.432	  0.525	      0.629	      0.276	 330.00	  0.00	 9999.00	 9999.00	
