FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 ModIx	 AnovaP	 DDI  	 VarTerm	 MSgrp	 MSerror	 MaxX 	 MinX 	 MaxLoc	 HWHM	
m60112c1r2.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   0.0	 165.00	 23.49	 26.00	 20.76	 22.66	  5.47	 0.260	 0.98342385	 0.381	  0.544	      0.081	      0.296	 330.00	  0.00	 9999.00	 9999.00	
m60112c1r2.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   1.0	 105.00	 48.56	 134.00	 20.02	 21.17	  5.47	 0.201	 0.86082053	 0.414	  0.382	      0.077	      0.146	 330.00	  0.00	 9999.00	 9999.00	
m60112c2r3.htb	  30.0	  0.05	 2.000	  8.00	  5.00	 30.00	   0.0	 84.00	 28.64	 61.00	 21.06	 22.09	  8.73	 0.276	 0.02279799	 0.480	  0.414	      0.371	      0.171	 330.00	  0.00	 9999.00	 9999.00	
m60112c2r3.htb	  30.0	  0.05	 2.000	  8.00	  5.00	 30.00	   1.0	 83.00	 25.91	  0.00	 20.90	 22.07	  8.73	 0.261	 0.02052960	 0.433	  0.498	      0.546	      0.248	 330.00	  0.00	 9999.00	 9999.00	
m60117c1r3.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 30.00	   0.0	 100.00	 16.04	 34.00	  9.45	 11.69	  5.12	 0.387	 0.02385446	 0.414	  0.597	      0.758	      0.356	 330.00	  0.00	 9999.00	 9999.00	
m60117c1r3.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 30.00	   1.0	 324.00	 14.34	 142.00	 11.54	 13.25	  5.12	 0.316	 0.54229474	 0.371	  0.604	      0.328	      0.364	 330.00	  0.00	 9999.00	 9999.00	
m60119c1r6.htb	  30.0	  0.03	 6.000	  0.00	  0.00	 60.00	   0.0	 15.00	 22.26	 330.00	  7.52	  9.49	  5.22	 0.468	 0.08822158	 0.491	  0.502	      0.443	      0.252	 330.00	  0.00	 9999.00	 9999.00	
m60119c1r6.htb	  30.0	  0.03	 6.000	  0.00	  0.00	 60.00	   1.0	 316.00	 22.83	 283.00	  8.24	  9.52	  5.22	 0.366	 0.10175843	 0.470	  0.408	      0.281	      0.167	 330.00	  0.00	 9999.00	 9999.00	
m60119c2r7.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   0.0	 233.00	 22.24	 302.00	 14.20	 17.22	  5.26	 0.390	 0.13019232	 0.471	  0.611	      0.586	      0.374	 330.00	  0.00	 9999.00	 9999.00	
m60119c2r7.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   1.0	 45.00	 35.87	  6.00	 15.82	 19.08	  5.26	 0.355	 0.06703827	 0.437	  0.660	      0.800	      0.436	 330.00	  0.00	 9999.00	 9999.00	
m60124c1r2.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 50.00	   0.0	  0.00	 13.02	 299.00	  7.04	  9.02	  2.70	 0.456	 0.05468109	 0.487	  0.549	      0.578	      0.301	 330.00	  0.00	 9999.00	 9999.00	
m60124c1r2.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 50.00	   1.0	 17.00	 12.17	 306.00	  7.39	  8.83	  2.70	 0.400	 0.03363476	 0.453	  0.457	      0.440	      0.209	 330.00	  0.00	 9999.00	 9999.00	
m60124c2r4.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 255.00	  6.51	 228.00	  2.02	  2.72	  2.57	 0.500	 0.39582623	 0.407	  0.457	      0.226	      0.209	 330.00	  0.00	 9999.00	 9999.00	
m60124c2r4.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 32.00	  4.71	 230.00	  1.86	  3.07	  2.57	 0.635	 0.05925254	 0.484	  0.472	      0.429	      0.222	 330.00	  0.00	 9999.00	 9999.00	
m60124c3r5.htb	 100.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	  0.00	 17.97	 264.00	  8.87	 13.18	  6.67	 0.530	 0.00000002	 0.673	  0.328	      1.054	      0.108	 330.00	  0.00	  0.00	 40.00	
m60124c3r5.htb	 100.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	  2.00	 21.76	 81.00	  8.07	 12.71	  6.67	 0.684	 0.00000000	 0.737	  0.367	      1.540	      0.135	 330.00	  0.00	  2.00	 32.00	
