FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 ModIx	 AnovaP	 DDI  	 VarTerm	 MSgrp	 MSerror	 MaxX 	 MinX 	 MaxLoc	 HWHM	
m32515c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 299.00	  6.09	 25.00	  3.13	  5.52	  6.97	 0.680	 0.92243226	 0.330	  1.149	      0.605	      1.320	 330.00	  0.00	 9999.00	 9999.00	
m32615c1r2.htb	   0.0	  0.03	 2.000	 -5.00	 -20.00	 40.00	   0.0	 170.00	  3.22	 202.00	  0.70	  1.31	  1.34	 0.643	 0.30465013	 0.368	  0.548	      0.357	      0.301	 330.00	  0.00	 9999.00	 9999.00	
m32615c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 80.00	  1.58	 330.00	  0.72	  1.43	  1.43	 0.393	 0.71846711	 0.309	  0.535	      0.205	      0.286	 330.00	  0.00	 9999.00	 9999.00	
m32615c3r2.htb	   0.0	  0.16	 2.000	  0.00	  0.00	 40.00	   0.0	 105.00	  3.97	  0.00	  1.05	  1.59	  2.10	 0.568	 0.50014990	 0.325	  0.576	      0.314	      0.332	 330.00	  0.00	 9999.00	 9999.00	
m32715c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	  0.00	  2.50	 174.00	  1.73	  2.43	  2.09	 0.345	 0.92949349	 0.263	  0.601	      0.163	      0.362	 330.00	  0.00	 9999.00	 9999.00	
m50615c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 170.00	  1.62	 62.00	  0.18	  0.49	  1.19	 0.833	 0.17576261	 0.482	  0.421	      0.260	      0.177	 330.00	  0.00	 9999.00	 9999.00	
m50715c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 135.00	  3.44	 167.00	  0.96	  1.48	  1.09	 0.671	 0.89100462	 0.329	  0.547	      0.150	      0.299	 330.00	  0.00	 9999.00	 9999.00	
m50715c2r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 323.00	  0.61	 191.00	  0.18	  0.50	  0.17	 0.778	 0.63444146	 0.379	  0.478	      0.184	      0.229	 330.00	  0.00	 9999.00	 9999.00	
m50715c1r22.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 66.00	  1.71	 294.00	  1.19	  1.60	  1.49	 0.359	 0.98509022	 0.239	  0.551	      0.090	      0.304	 330.00	  0.00	 9999.00	 9999.00	
m50715c2r22.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 135.00	  0.88	 187.00	  0.18	  0.46	  0.19	 0.750	 0.54324652	 0.356	  0.474	      0.202	      0.224	 330.00	  0.00	 9999.00	 9999.00	
m50815c1r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 231.00	  2.60	 192.00	  0.25	  0.86	  0.00	 0.917	 0.25312584	 0.545	  0.484	      0.317	      0.235	 330.00	  0.00	 9999.00	 9999.00	
m50815c1r22.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 231.00	  2.74	 269.00	  0.36	  0.94	  0.10	 0.875	 0.07797542	 0.535	  0.455	      0.379	      0.207	 330.00	  0.00	 9999.00	 9999.00	
m50815c1r22.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 231.00	  2.74	 269.00	  0.36	  0.94	  0.10	 0.875	 0.07797542	 0.535	  0.455	      0.379	      0.207	 330.00	  0.00	 9999.00	 9999.00	
m50815c1r22.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 231.00	  2.74	 269.00	  0.36	  0.94	  0.10	 0.875	 0.07797542	 0.535	  0.455	      0.379	      0.207	 330.00	  0.00	 9999.00	 9999.00	
m50815c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 153.00	  2.30	 208.00	  0.76	  1.76	  1.82	 0.769	 0.54903799	 0.375	  0.772	      0.532	      0.595	 330.00	  0.00	 9999.00	 9999.00	
m50815c3r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 263.00	  3.65	 319.00	  1.89	  2.85	  2.90	 0.706	 0.52007552	 0.416	  0.604	      0.339	      0.365	 330.00	  0.00	 9999.00	 9999.00	
m50815c3r22.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 262.00	  3.66	 319.00	  2.03	  2.95	  2.90	 0.531	 0.84263184	 0.339	  0.629	      0.227	      0.396	 330.00	  0.00	 9999.00	 9999.00	
m60815c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 105.00	  5.02	 285.00	  2.74	  3.50	  2.43	 0.519	 0.13504605	 0.429	  0.508	      0.398	      0.258	 330.00	  0.00	 9999.00	 9999.00	
m60815c1r22.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 108.00	  7.93	  5.00	  2.51	  3.02	  2.09	 0.446	 0.78272873	 0.317	  0.612	      0.243	      0.375	 330.00	  0.00	 9999.00	 9999.00	
m61015c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   0.0	 258.00	  2.62	  0.00	  0.88	  1.37	  0.85	 0.548	 0.87338848	 0.282	  0.634	      0.216	      0.402	 330.00	  0.00	 9999.00	 9999.00	
m61015c3r22.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 127.00	  0.42	  0.00	  0.05	  0.21	  0.06	 0.857	 0.51500039	 0.357	  0.376	      0.132	      0.141	 330.00	  0.00	 9999.00	 9999.00	
m61015c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 316.00	  5.81	 288.00	  1.88	  2.63	  2.29	 0.508	 0.50792797	 0.351	  0.446	      0.186	      0.199	 330.00	  0.00	 9999.00	 9999.00	
m61015c3r2.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 130.00	  0.40	  0.00	  0.04	  0.17	  0.05	 0.857	 0.74126390	 0.317	  0.360	      0.090	      0.129	 330.00	  0.00	 9999.00	 9999.00	
m61015c3r22.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 127.00	  0.42	  0.00	  0.05	  0.21	  0.06	 0.857	 0.51500039	 0.357	  0.376	      0.132	      0.141	 330.00	  0.00	 9999.00	 9999.00	
m61015c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 255.00	  2.71	 96.00	  0.62	  1.02	  0.50	 0.643	 0.89346441	 0.327	  0.496	      0.122	      0.246	 330.00	  0.00	 9999.00	 9999.00	
m61015c4r22.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 31.00	  1.11	 53.00	  0.58	  0.99	  0.57	 0.533	 0.96761712	 0.276	  0.519	      0.096	      0.269	 330.00	  0.00	 9999.00	 9999.00	
m61115c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   0.0	 30.00	  1.00	 188.00	  0.25	  1.03	  0.40	 0.868	 0.77232123	 0.289	  0.777	      0.398	      0.603	 330.00	  0.00	 9999.00	 9999.00	
m61215c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 211.00	  1.07	 234.00	  0.20	  0.85	  0.43	 0.955	 0.35242683	 0.417	  0.647	      0.473	      0.419	 330.00	  0.00	 9999.00	 9999.00	
m61215c1r22.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 40.00	  2.20	 115.00	  0.37	  0.92	  0.39	 0.746	 0.63175064	 0.327	  0.678	      0.372	      0.460	 330.00	  0.00	 9999.00	 9999.00	
m61215c1r222.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 203.00	  1.48	 253.00	  0.37	  0.96	  0.40	 0.778	 0.64860771	 0.313	  0.692	      0.379	      0.479	 330.00	  0.00	 9999.00	 9999.00	
m61215c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 225.00	  1.62	 45.00	  0.61	  1.56	  2.16	 0.762	 0.15142926	 0.394	  0.758	      0.855	      0.575	 330.00	  0.00	 9999.00	 9999.00	
