FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60213c1r1.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 40.00	  2.45	  5.07	 60.15	 37.66	 -2.11	  8.80	  0.00		  0.00		 1.597	
m60217c1r1.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 50.00	  3.09	  8.51	 34.62	 19.41	 13.93	 12.82	  0.00		 10.00		 1.783	
m60220c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.45	  8.21	 43.50	 14.62	  0.89	 16.33	  0.00		  0.00		 2.976	
m60220c3r1.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 40.00	  2.23	  3.18	 57.32	 49.11	  3.29	  6.26	  0.00		  0.00		 1.167	
m60220c6r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.71	 35.47	 23.37	 17.46	 -0.11	  7.00	  0.00		  0.00		 1.338	
m60221c2r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	 10.10	 -8.36	 70.22	 13.86	 -18.39	 -20.60	  0.00		  0.00		 5.065	
m60221c2r3.htb	   0.0	  0.03	 4.000	 -10.00	 10.00	 60.00	  5.81	  3.61	 49.43	 33.98	  2.31	 24.38	 -10.00		 10.00		 1.454	
m60221c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.74	  6.52	 28.04	 33.17	  1.23	  7.55	  0.00		  0.00		 0.845	
m60221c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  8.30	 27.84	 32.46	 27.35	  5.85	 -0.21	  0.00		  0.00		 1.187	
m60221c5r1.htb	   0.0	  0.03	 2.000	 10.00	 -5.00	 40.00	  1.19	  7.30	 47.65	 35.98	  2.05	  3.46	 10.00		 -5.00		 1.324	
m60227c1r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.77	 23.73	 28.37	 27.62	  4.81	  1.40	  0.00		  0.00		 1.027	
m60227c2r1.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 40.00	  8.18	 14.99	 28.22	 28.56	  7.94	  4.53	  0.00		  0.00		 0.988	
m60404c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.98	  8.14	 31.03	 24.46	  3.10	 -2.55	  0.00		  0.00		 1.269	
m60411c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.15	 10.50	 43.32	 24.09	 -4.00	  0.11	  0.00		  0.00		 1.798	
m60412c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  2.15	 15.12	 55.78	 36.55	  3.58	 -0.50	  0.00		 -10.00		 1.526	
m60413c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.66	  4.11	 39.82	 46.99	 -3.71	 -30.00	  0.00		  0.00		 0.847	
m60413c2r1.htb	 180.0	  0.03	 2.000	  0.00	 -15.00	 40.00	  2.91	  4.35	 31.26	 25.30	 -0.38	 -10.78	  0.00		 -15.00		 1.236	
m60418c2r1.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 50.00	  9.11	 33.36	 39.59	 24.80	 -6.34	 -10.12	 -5.00		 -10.00		 1.596	
m60418c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	 15.77	 17.33	 43.31	 39.44	 -2.16	 -7.19	  0.00		  0.00		 1.098	
m60418c4r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 50.00	 15.04	 19.52	 36.19	 28.39	 -3.62	 -6.49	  0.00		 -10.00		 1.275	
m60420c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.07	 15.83	 44.51	 40.92	  0.80	  5.82	  0.00		  0.00		 1.088	
m60420c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.52	 12.91	 15.89	 17.51	  5.68	 -1.63	  0.00		  0.00		 0.907	
m60420c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 13.99	 24.63	 17.73	 25.22	  2.15	 -1.60	  0.00		  0.00		 0.703	
m60424c6r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.97	 30.06	 31.18	 18.37	 -5.43	 -3.43	  0.00		  0.00		 1.698	
m60518c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.76	 20.62	 56.49	 48.84	  9.67	  3.04	  0.00		  0.00		 1.157	
m60518c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.55	  4.20	 66.55	 43.87	  6.83	 -7.15	  0.00		  0.00		 1.517	
m60524c6r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.80	 15.54	 34.36	 23.64	 -11.92	 -3.32	  0.00		  0.00		 1.454	
m60629c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.31	  8.59	 27.06	 24.19	  0.24	 -3.20	  0.00		  0.00		 1.119	
m60630c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.95	  8.07	 68.08	 53.14	 -0.12	  1.90	  0.00		  0.00		 1.281	
m60630c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.90	 10.63	 45.84	 30.37	 -2.57	  8.12	  0.00		  0.00		 1.509	
m60706c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.63	  6.97	 30.41	 15.89	 10.89	  0.46	  0.00		  0.00		 1.914	
m60706c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.42	 11.80	 24.62	 19.57	 -0.21	 -2.52	  0.00		  0.00		 1.258	
m60706c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  5.81	 10.67	 30.37	 33.10	 -1.18	 -3.79	  0.00		 -10.00		 0.918	
m60706c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  2.28	 30.05	 47.88	 10.42	 -8.18	  0.00		  0.00		 0.628	
m60711c2r1.htb	   0.0	  0.03	 2.000	 -5.00	  8.00	 40.00	  6.40	 21.19	 43.57	 35.94	 -1.27	  2.48	 -5.00		  8.00		 1.212	
m60712c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.74	 11.33	 28.27	 32.27	 -2.47	  6.25	  0.00		  0.00		 0.876	
m60713c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.08	  2.92	 46.79	 26.90	 -6.58	  6.54	  0.00		  0.00		 1.740	
m60713c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.93	  4.74	 40.19	 31.39	  7.88	  1.92	  0.00		  0.00		 1.280	
m60714c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.16	  5.65	 32.43	 26.88	  2.63	  6.31	  0.00		  0.00		 1.206	
m60714c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.37	  3.28	 19.93	 19.70	 -1.68	 -1.76	  0.00		  0.00		 1.012	
m60714c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.88	  7.10	 28.13	 34.70	 -6.77	  2.28	  0.00		  0.00		 0.811	
m60714c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.98	 17.64	 55.08	 60.91	 -4.32	  7.83	  0.00		  0.00		 0.904	
m60717c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.94	  7.48	 49.02	 48.46	 -6.05	 -7.32	  0.00		  0.00		 1.012	
m60717c2r1.htb	 170.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.24	  4.76	 37.64	 38.81	  3.45	 -3.59	  0.00		  0.00		 0.970	
m60719c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.97	  7.19	 22.95	 22.70	  3.08	 -7.45	  0.00		  0.00		 1.011	
m60719c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.39	  4.34	 52.94	 42.25	 -6.72	 12.19	  0.00		  0.00		 1.253	
m60719c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.39	  4.34	 52.94	 42.24	 -6.72	 12.19	  0.00		  0.00		 1.253	
m60721c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.63	 12.11	 52.69	 24.38	  4.73	 -2.82	  0.00		  0.00		 2.161	
m60721c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.63	 12.11	 52.69	 24.38	  4.73	 -2.82	  0.00		  0.00		 2.161	
m60721c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.38	 18.90	 53.16	 34.14	  3.42	  0.52	  0.00		  0.00		 1.557	
m60721c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.04	 14.22	 50.15	 44.04	 -1.12	  5.91	  0.00		  0.00		 1.139	
m60724c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.42	  7.24	 44.01	 34.62	  4.79	  1.87	  0.00		  0.00		 1.271	
m60724c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.93	  7.66	 22.52	 31.73	 -2.83	  5.85	  0.00		  0.00		 0.710	
m60724c3r1.htb	 150.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.89	 18.98	 43.71	 39.19	 -0.71	  7.60	  0.00		  0.00		 1.115	
