FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60112c1r3.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   0.0	 0.2280	 996.0000		 0.0000	   0.0	
m60112c1r3.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   1.0	 0.1880	 996.0000		 0.0000	   0.0	
m60112c2r4.htb	  30.0	  0.05	 2.000	  8.00	  5.00	 30.00	   0.0	 0.1500	 996.0000		 0.0000	   1.0	
m60112c2r4.htb	  30.0	  0.05	 2.000	  8.00	  5.00	 30.00	   1.0	 0.2010	 996.0000		 0.0000	   0.0	
m60117c1r4.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 30.00	   0.0	 0.1770	 996.0000		 0.0000	   0.0	
m60117c1r4.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 30.00	   1.0	 0.1290	 996.0000		 0.0000	   0.0	
m60119c2r2.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   0.0	
m60119c2r2.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   1.0	 0.1830	 996.0000		 0.0000	   0.0	
m60124c1r3.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   0.0	 0.1450	 996.0000		 0.0000	   1.0	
m60124c1r3.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   1.0	 0.1600	 996.0000		 0.0000	   1.0	
m60124c2r3.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 0.1350	 996.0000		 0.0000	   1.0	
m60124c2r3.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 0.5820	 996.0000		 0.0000	   1.0	
m60124c3r6.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60124c3r6.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 2.0010	 996.0000		 0.0000	   0.0	
m60124c4r2.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60124c4r2.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   1.0	 0.2570	 996.0000		 0.0000	   0.0	
m60124c5r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 70.00	   0.0	 0.4660	 996.0000		 0.0000	   0.0	
m60124c5r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 70.00	   1.0	 2.0010	 996.0000		 0.0000	   0.0	
m60213c2r2.htb	  30.0	  0.03	 2.000	  0.00	 15.00	 50.00	   0.0	 0.1210	 996.0000		 0.0000	   0.0	
m60213c2r2.htb	  30.0	  0.03	 2.000	  0.00	 15.00	 50.00	   1.0	 0.1410	 996.0000		 0.0000	   1.0	
m60213c3r2.htb	 120.0	  0.03	 2.000	  8.00	  0.00	 50.00	   0.0	 0.1300	 996.0000		 0.0000	   0.0	
m60213c3r2.htb	 120.0	  0.03	 2.000	  8.00	  0.00	 50.00	   1.0	 0.1320	 996.0000		 0.0000	   0.0	
m60213c4r2.htb	   0.0	  0.03	 4.000	  5.00	 12.00	 50.00	   0.0	 0.1910	 996.0000		 0.0000	   1.0	
m60213c4r2.htb	   0.0	  0.03	 4.000	  5.00	 12.00	 50.00	   1.0	 0.1930	 996.0000		 0.0000	   1.0	
m60220c1r2.htb	  30.0	  0.05	 2.000	  5.00	  8.00	 60.00	   0.0	 0.2400	 996.0000		 0.0000	   1.0	
m60220c1r2.htb	  30.0	  0.05	 2.000	  5.00	  8.00	 60.00	   1.0	 0.1250	 996.0000		 0.0000	   1.0	
m60317c1r2.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1960	 996.0000		 0.0000	   1.0	
m60317c1r2.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.2180	 996.0000		 0.0000	   1.0	
m60317c2r2.htb	  30.0	  0.03	 2.000	 -5.00	  5.00	 50.00	   0.0	 0.1350	 996.0000		 0.0000	   1.0	
m60317c2r2.htb	  30.0	  0.03	 2.000	 -5.00	  5.00	 50.00	   1.0	 0.2230	 996.0000		 0.0000	   0.0	
m60404c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.2200	 996.0000		 0.0000	   1.0	
m60404c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.2920	 996.0000		 0.0000	   1.0	
m60407c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.5410	 996.0000		 0.0000	   0.0	
m60407c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1900	 996.0000		 0.0000	   1.0	
m60407c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60407c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	 0.2880	 996.0000		 0.0000	   1.0	
m60407c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -20.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60407c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -20.00	 40.00	   1.0	 0.1860	 996.0000		 0.0000	   1.0	
