FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60201c1r3.htb	  30.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   0.0	 0.7760	 996.0000		 0.0000	   1.0	
m60201c1r3.htb	  30.0	  0.03	 2.000	  0.00	 -5.00	 50.00	   1.0	 -0.4890	 996.0000		 0.0000	   1.0	
m60208c1r2.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 45.00	   0.0	 0.1530	 996.0000		 0.0000	   1.0	
m60208c1r2.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 45.00	   1.0	 0.1540	 996.0000		 0.0000	   0.0	
m60213c1r3.htb	  30.0	  0.05	 2.000	 -5.00	 10.00	 40.00	   0.0	 0.2760	 996.0000		 0.0000	   1.0	
m60213c1r3.htb	  30.0	  0.05	 2.000	 -5.00	 10.00	 40.00	   1.0	 0.1740	 996.0000		 0.0000	   0.0	
m60217c1r2.htb	  30.0	  0.03	 2.000	 10.00	 15.00	 50.00	   0.0	 0.2150	 996.0000		 0.0000	   1.0	
m60217c1r2.htb	  30.0	  0.03	 2.000	 10.00	 15.00	 50.00	   1.0	 0.3890	 996.0000		 0.0000	   1.0	
m60220c2r2.htb	   0.0	  0.03	 2.000	  0.00	 15.00	 60.00	   0.0	 0.2890	 996.0000		 0.0000	   1.0	
m60220c2r2.htb	   0.0	  0.03	 2.000	  0.00	 15.00	 60.00	   1.0	 0.2750	 996.0000		 0.0000	   1.0	
m60220c3r2.htb	  30.0	  0.03	 2.000	 10.00	 10.00	 50.00	   0.0	 0.1010	 996.0000		 0.0000	   1.0	
m60220c3r2.htb	  30.0	  0.03	 2.000	 10.00	 10.00	 50.00	   1.0	 0.1220	 996.0000		 0.0000	   1.0	
m60220c6r3.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 40.00	   0.0	 0.1040	 996.0000		 0.0000	   0.0	
m60220c6r3.htb	  30.0	  0.03	 2.000	  0.00	 10.00	 40.00	   1.0	 0.1050	 996.0000		 0.0000	   0.0	
m60221c1r2.htb	   0.0	  0.05	 2.000	 -10.00	 10.00	 50.00	   0.0	 0.3240	 996.0000		 0.0000	   1.0	
m60221c1r2.htb	   0.0	  0.05	 2.000	 -10.00	 10.00	 50.00	   1.0	 0.3450	 996.0000		 0.0000	   1.0	
m60221c2r2.htb	   0.0	  0.03	 4.000	 -10.00	 10.00	 60.00	   0.0	 0.1220	 996.0000		 0.0000	   0.0	
m60221c2r2.htb	   0.0	  0.03	 4.000	 -10.00	 10.00	 60.00	   1.0	 0.1310	 996.0000		 0.0000	   0.0	
m60221c3r2.htb	   0.0	  0.03	 2.000	  3.00	  8.00	 50.00	   0.0	 0.1080	 996.0000		 0.0000	   0.0	
m60221c3r2.htb	   0.0	  0.03	 2.000	  3.00	  8.00	 50.00	   1.0	 0.1130	 996.0000		 0.0000	   0.0	
m60221c4r3.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 50.00	   0.0	 0.1100	 996.0000		 0.0000	   0.0	
m60221c4r3.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 50.00	   1.0	 0.1170	 996.0000		 0.0000	   0.0	
m60221c5r2.htb	   0.0	  0.03	 2.000	 10.00	 -5.00	 50.00	   0.0	 0.0910	 996.0000		 0.0000	   0.0	
m60221c5r2.htb	   0.0	  0.03	 2.000	 10.00	 -5.00	 50.00	   1.0	 0.3050	 996.0000		 0.0000	   1.0	
m60227c1r2.htb	  30.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	 0.1830	 996.0000		 0.0000	   0.0	
m60227c1r2.htb	  30.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	 0.1100	 996.0000		 0.0000	   0.0	
m60227c2r2.htb	   0.0	  0.05	 2.000	  8.00	  4.00	 40.00	   0.0	 0.1090	 996.0000		 0.0000	   1.0	
m60227c2r2.htb	   0.0	  0.05	 2.000	  8.00	  4.00	 40.00	   1.0	 0.0880	 996.0000		 0.0000	   1.0	
m60404c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0740	 996.0000		 0.0000	   0.0	
m60404c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1690	 996.0000		 0.0000	   0.0	
m60411c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   0.0	 0.1720	 996.0000		 0.0000	   0.0	
m60411c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   1.0	 0.1760	 996.0000		 0.0000	   1.0	
m60412c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1360	 996.0000		 0.0000	   0.0	
m60412c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1250	 996.0000		 0.0000	   0.0	
m60413c1r2.htb	 180.0	  0.03	 2.000	 -5.00	 -25.00	 60.00	   0.0	 0.1320	 996.0000		 0.0000	   0.0	
m60413c1r2.htb	 180.0	  0.03	 2.000	 -5.00	 -25.00	 60.00	   1.0	 2.0010	 996.0000		 0.0000	   0.0	
m60413c2r2.htb	 180.0	  0.03	 2.000	 -8.00	 -5.00	 40.00	   0.0	 0.1700	 996.0000		 0.0000	   1.0	
m60413c2r2.htb	 180.0	  0.03	 2.000	 -8.00	 -5.00	 40.00	   1.0	 0.4440	 996.0000		 0.0000	   0.0	
m60417c1r2.htb	 180.0	  0.03	 2.000	  0.00	 10.00	 50.00	   0.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60417c1r2.htb	 180.0	  0.03	 2.000	  0.00	 10.00	 50.00	   1.0	 0.8590	 996.0000		 0.0000	   1.0	
m60418c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -15.00	 50.00	   0.0	 0.1160	 996.0000		 0.0000	   0.0	
m60418c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -15.00	 50.00	   1.0	 0.1240	 996.0000		 0.0000	   0.0	
m60418c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   0.0	 0.1710	 996.0000		 0.0000	   0.0	
m60418c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   1.0	 2.0010	 996.0000		 0.0000	   1.0	
m60420c3r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   0.0	 0.1910	 996.0000		 0.0000	   1.0	
m60420c3r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   1.0	 0.1300	 996.0000		 0.0000	   0.0	
m60420c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -8.00	 40.00	   0.0	 0.1570	 996.0000		 0.0000	   0.0	
m60420c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -8.00	 40.00	   1.0	 0.1170	 996.0000		 0.0000	   0.0	
m60420c5r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   0.0	 0.2540	 996.0000		 0.0000	   1.0	
m60420c5r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   1.0	 0.2850	 996.0000		 0.0000	   1.0	
m60424c6r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   0.0	 0.1030	 996.0000		 0.0000	   0.0	
m60424c6r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   1.0	 0.1000	 996.0000		 0.0000	   0.0	
