FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 SFMI		 AnovaP	 SFDI  	 VarTerm	 MaxX 	 MinX 	 SFHWHM	 SFHW25	 SFHW20	 SFHW15	 SFHW10	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m120315c1r3.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0840	  3.13	 0.6400	  0.92	  1.39	 1.804	 0.10654214	 0.386	  1.082	  0.64	  0.01	  0.2000	  0.3310	  0.3660	  0.4050	  0.4490	 0.4940	 0.07818147	 0.0735	 0.02322248	 1.0591	 0.58886193	  0.00	  3.13	 0.0835	 1.2936	 0.0014	
m120315c1r30.htbViS	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0120	  3.04	 0.0640	  1.35	  1.64	 1.207	 0.52004070	 0.343	  0.846	  0.64	  0.01	  0.0050	  0.0060	  0.0070	  0.0070	  0.0080	 0.6097	 0.03821838	 0.0468	 0.07208494	 0.3702	 0.83101571	  1.35	  1.71	 0.0116	 0.1663	 0.0045	
m120315c1r30.htbV+L	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0870	  0.19	 0.6400	  0.08	  1.64	 -0.080	 0.67487415	 0.226	  0.433	  0.64	  0.01	  0.0720	  0.1150	  0.1280	  0.1440	  0.1670	 0.2611	 0.24120772	 0.0156	 0.30228342	 0.2472	 0.88372059	  0.08	  0.12	 0.0866	 0.4670	 0.0100	
m120315c2r3.htbViS	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0100	  3.21	 0.6400	  0.84	  1.09	 1.118	 0.00067704	 0.436	  0.648	  0.64	  0.01	  0.0140	  0.0230	  0.0260	  0.0300	  0.0350	 0.9303	 0.00044725	 0.2814	 0.00000232	 0.1099	 0.94654537	  0.84	  2.36	 0.0100	 0.6853	 0.0001	
m120315c2r3.htbV+L	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0220	  2.17	 0.6400	  0.99	  1.09	 1.097	 0.00141258	 0.404	  0.365	  0.64	  0.01	  0.0260	  0.0410	  0.0460	  0.0520	  0.0600	 0.7865	 0.00777459	 0.2229	 0.00003695	 0.8007	 0.67007898	  0.99	  1.18	 0.0218	 0.4876	 0.0100	
m120315c3r3.htbViS	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0290	  8.69	 0.6400	  3.22	  2.49	 0.883	 0.00590406	 0.470	  0.609	  0.64	  0.01	  0.0210	  0.0320	  0.0350	  0.0390	  0.0440	 0.9494	 0.00019947	 0.3555	 0.00001946	 0.3095	 0.85662282	  3.22	  5.48	 0.0286	 0.3498	 0.0100	
m120315c3r3.htbV+L	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0100	  4.23	 0.6400	  1.81	  2.49	 1.483	 0.00602306	 0.538	  0.505	  0.64	  0.01	  0.0650	  0.1500	  0.1830	  0.2290	  0.2950	 0.6402	 0.03070218	 0.2154	 0.00089152	 1.0920	 0.57927093	  1.64	  2.59	 0.0100	 1.7730	 0.0001	
m120715c1r30.htbViS	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.0170	  3.58	 0.6400	  0.35	  0.30	 0.986	 0.39126348	 0.380	  1.105	  0.64	  0.01	  0.0440	  0.0840	  0.0980	  0.1180	  0.1480	 0.9119	 0.00080756	 0.2045	 0.01212031	 0.0211	 0.98952126	  0.34	  3.23	 0.0171	 1.0553	 0.0001	
m120715c1r30.htbV+L	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.0270	  3.07	 0.6400	  1.37	  0.30	 0.612	 0.71046115	 0.346	  0.724	  0.64	  0.01	  0.0310	  0.0500	  0.0570	  0.0650	  0.0770	 0.6355	 0.03178831	 0.0860	 0.10323795	 0.1829	 0.91259612	  1.37	  1.70	 0.0271	 0.6174	 0.0001	
m120715c1r33.htbViS	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.0210	  4.50	 0.6400	  0.42	  0.19	 0.946	 0.01788032	 0.480	  0.996	  0.64	  0.01	  0.0410	  0.0700	  0.0800	  0.0930	  0.1120	 0.9038	 0.00100886	 0.2561	 0.00015155	 0.2259	 0.89317743	  0.42	  4.08	 0.0214	 0.7634	 0.0052	
