FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m52311c3r4.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 0.9700	  5.79	 16.0000	  1.68	  1.89	 1.054	 0.00000079	 0.513	  0.487	 16.00	  0.50	  1.3800	 0.8405	 0.01010379	 0.4047	 0.00000005	 0.8361	        NaN	  1.68	  4.11	 0.9691	 0.6989	 0.1000	
m52311c1r4.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 1.2300	  3.45	 16.0000	  0.16	  0.80	 1.246	 0.00000865	 0.561	  0.567	 16.00	  0.50	  1.9300	 0.9054	 0.00346624	 0.3896	 0.00000010	 0.2000	        NaN	  0.15	  3.30	 1.2269	 0.7611	 0.1000	
m52311c2r4.htb	 270.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.9300	  3.93	 16.0000	  0.05	  0.00	 1.000	 0.00010144	 0.597	  0.655	 16.00	  0.50	  2.0100	 0.8988	 0.00397570	 0.3336	 0.00000135	 0.3261	        NaN	  0.00	  3.93	 0.9273	 0.9255	 0.1000	
m52311c3r4.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 0.9700	  5.79	 16.0000	  1.68	  1.89	 1.054	 0.00000079	 0.513	  0.487	 16.00	  0.50	  1.3800	 0.8405	 0.01010366	 0.4047	 0.00000005	 0.8361	        NaN	  1.68	  4.11	 0.9691	 0.6989	 0.1000	
m71411c1r4.htb	 250.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 1.6500	  0.23	 16.0000	  0.00	  0.00	 1.000	 0.21473794	 0.386	  0.387	 16.00	  0.50	  1.1000	 0.8611	 0.00759979	 0.1032	 0.01232826	 0.1458	        NaN	  0.00	  0.23	 1.6501	 0.4094	 0.1000	
m71411c2r4.htb	 250.0	  0.01	 2.000	 -10.00	 -10.00	 40.00	   0.0	 1.5800	  5.32	 16.0000	  0.84	  1.19	 1.090	 0.00000534	 0.566	  0.621	 16.00	  0.50	  2.1000	 0.8438	 0.00967172	 0.3722	 0.00000023	 0.7686	        NaN	  0.82	  4.49	 1.5838	 0.6847	 0.1000	
m71411c3r4.htb	 200.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 1.5200	 14.92	 16.0000	  2.25	  2.54	 1.025	 0.00000000	 0.642	  0.614	 16.00	  0.50	  1.9000	 0.9922	 0.00002281	 0.6360	 0.00000000	 0.1038	        NaN	  2.23	 12.70	 1.5173	 0.6568	 0.1000	
m71511c1r4.htb	  80.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 2.0500	  5.37	 0.5000	  2.66	  4.53	 3.210	 0.24012096	 0.363	  1.012	 16.00	  0.50	  0.1700	 0.5615	 0.08638210	 0.0643	 0.05057290	 0.4041	        NaN	  2.66	  2.72	 2.0489	 0.0600	 0.0989	
m71511c2r4.htb	   0.0	  0.03	 2.000	 20.00	 -30.00	 40.00	   0.0	 1.6200	 14.93	 8.5900	  9.38	 11.24	 1.506	 0.38978080	 0.323	  0.713	 16.00	  0.50	  0.4500	 0.7047	 0.03657687	 0.0633	 0.05252506	 0.1445	        NaN	  9.38	  5.55	 1.6224	 0.1897	 0.0994	
m72111c1r4.htb	 250.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 1.5700	  6.53	 16.0000	  1.11	  1.19	 1.016	 0.00000370	 0.569	  0.632	 16.00	  0.50	  1.4900	 0.9426	 0.00125850	 0.4233	 0.00000002	 0.4198	        NaN	  1.11	  5.42	 1.5698	 0.5379	 0.1000	
m72111c2r4.htb	 250.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 1.5500	  9.99	 16.0000	  1.17	  0.55	 0.948	 0.00000168	 0.604	  0.700	 16.00	  0.50	  2.4500	 0.9031	 0.00363806	 0.4622	 0.00000002	 0.8160	        NaN	  1.05	  8.94	 1.5548	 0.7758	 0.1000	
m72111c3r4.htb	  50.0	  0.05	 2.000	 -10.00	 -10.00	 40.00	   0.0	 2.0000	  2.80	 16.0000	  0.38	  0.35	 1.142	 0.00001183	 0.568	  0.425	 16.00	  0.50	  4.0600	 0.7758	 0.02047278	 0.3283	 0.00000172	 1.2089	        NaN	  0.00	  2.80	 2.0041	 1.0371	 0.0010	
m72111c3r44.htb	  50.0	  0.05	 2.000	 -10.00	 -10.00	 40.00	   0.0	 1.4200	  2.37	 16.0000	  0.12	  0.45	 1.194	 0.00001484	 0.552	  0.448	 16.00	  0.50	  2.5500	 0.9856	 0.00007775	 0.4119	 0.00000003	 0.0642	        NaN	  0.07	  2.30	 1.4178	 0.8474	 0.1000	
m80511c1r4.htb	 240.0	  0.01	 2.000	 -5.00	 10.00	 40.00	   0.0	 1.4500	  5.48	 16.0000	  0.53	  0.60	 1.013	 0.00000214	 0.551	  0.672	 16.00	  0.50	  1.5400	 0.9732	 0.00027225	 0.4486	 0.00000000	 0.1586	        NaN	  0.53	  4.95	 1.4453	 0.5854	 0.1000	
m80511c2r4.htb	   0.0	  0.03	 2.000	 10.00	 10.00	 40.00	   0.0	 1.7000	  4.70	 16.0000	  0.77	  0.75	 1.004	 0.00094351	 0.478	  0.748	 16.00	  0.50	  2.4200	 0.8822	 0.00541840	 0.2744	 0.00001749	 0.6735	        NaN	  0.73	  3.97	 1.6980	 0.7276	 0.1000	
m80511c3r4.htb	  90.0	  0.03	 2.000	 -10.00	  5.00	 40.00	   0.0	 1.7000	  6.87	 16.0000	  0.38	  0.95	 1.147	 0.00001235	 0.570	  0.734	 16.00	  0.50	  3.1100	 0.9599	 0.00061230	 0.4052	 0.00000005	 0.0576	        NaN	  0.07	  6.80	 1.6955	 0.8800	 0.1000	
m80911c1r4.htb	  50.0	  0.01	 2.000	  0.00	  0.00	 40.00	   0.0	 1.8300	  3.72	 16.0000	  1.14	  1.89	 1.452	 0.02387999	 0.407	  0.667	 16.00	  0.50	  2.9400	 0.9765	 0.00020840	 0.2033	 0.00029956	 0.0203	        NaN	  1.07	  2.65	 1.8343	 0.7981	 0.1000	
m81111c1r4.htb	 200.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.9400	  1.04	 16.0000	  0.39	  0.25	 0.826	 0.33839698	 0.237	  0.592	 16.00	  0.50	  1.6200	 0.7372	 0.02857304	 0.0718	 0.03849366	 0.0560	        NaN	  0.39	  0.65	 0.9351	 0.7993	 0.1000	
m81111c2r4.htb	 200.0	  0.01	 2.000	 -10.00	 -10.00	 40.00	   0.0	 1.3700	 11.78	 16.0000	  2.21	  0.70	 0.941	 0.00000179	 0.541	  0.719	 16.00	  0.50	  3.3600	 0.9300	 0.00187963	 0.4321	 0.00000001	 0.5632	        NaN	  1.35	 10.43	 1.3690	 1.0709	 0.1000	
m81111c1r4.htb	 200.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.9300	  1.04	 16.0000	  0.39	  0.25	 0.826	 0.33839698	 0.237	  0.592	 16.00	  0.50	  1.6300	 0.7373	 0.02855461	 0.0718	 0.03848269	 0.0560	        NaN	  0.39	  0.66	 0.9348	 0.7997	 0.1000	
m81111c2r4.htb	 200.0	  0.01	 2.000	 -10.00	 -10.00	 40.00	   0.0	 1.3700	 11.78	 16.0000	  2.21	  0.70	 0.941	 0.00000179	 0.541	  0.719	 16.00	  0.50	  3.3600	 0.9300	 0.00187960	 0.4321	 0.00000001	 0.5632	        NaN	  1.35	 10.43	 1.3690	 1.0709	 0.1000	
m81111c3r4.htb	 300.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.9400	  9.89	 16.0000	  2.84	  2.16	 1.170	 0.00225733	 0.506	  0.743	 16.00	  0.50	  3.8300	 0.9842	 0.00009446	 0.3194	 0.00001272	 0.0273	        NaN	  0.84	  9.05	 0.9396	 1.6319	 0.0010	
m81111c3r4.htb	 300.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.9400	  9.89	 16.0000	  2.84	  2.16	 1.170	 0.00225733	 0.506	  0.743	 16.00	  0.50	  3.8300	 0.9842	 0.00009445	 0.3194	 0.00001272	 0.0273	        NaN	  0.84	  9.05	 0.9396	 1.6319	 0.0010	
m81511c1r4.htb	   0.0	  0.01	 2.000	  5.00	 -10.00	 40.00	   0.0	 1.4200	  3.16	 16.0000	  0.43	  0.00	 0.889	 0.00013225	 0.480	  0.586	 16.00	  0.50	  2.7000	 0.8818	 0.00545758	 0.3213	 0.00000234	 0.4559	        NaN	  0.35	  2.81	 1.4196	 0.8815	 0.1000	
m81511c2r4.htb	   0.0	  0.01	 2.000	 10.00	  0.00	 40.00	   0.0	 1.7400	  2.37	 16.0000	  0.46	  0.10	 0.873	 0.00238660	 0.493	  0.522	 16.00	  0.50	  3.0400	 0.8975	 0.00408434	 0.2546	 0.00003947	 0.1856	        NaN	  0.39	  1.98	 1.7409	 0.8490	 0.1000	
m81511c2r4.htb	   0.0	  0.01	 2.000	 10.00	  0.00	 40.00	   0.0	 1.7400	  2.37	 16.0000	  0.46	  0.10	 0.873	 0.00238660	 0.493	  0.522	 16.00	  0.50	  3.0400	 0.8975	 0.00408447	 0.2546	 0.00003947	 0.1856	        NaN	  0.39	  1.98	 1.7409	 0.8490	 0.1000	
m81511c3r4.htb	 200.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 1.7100	  5.21	 16.0000	  2.13	  0.90	 1.039	 0.11419759	 0.400	  0.711	 16.00	  0.50	  4.9600	 0.8759	 0.00603725	 0.1295	 0.00474180	 0.1864	        NaN	  0.73	  4.48	 1.7145	 1.4321	 0.1000	
m81611c1r4.htb	   0.0	  0.01	 2.000	  0.00	 -10.00	 40.00	   0.0	 1.4400	  9.73	 16.0000	  3.44	  1.22	 0.739	 0.00039034	 0.471	  0.716	 16.00	  0.50	  1.2700	 0.9368	 0.00152854	 0.3446	 0.00000307	 0.2728	        NaN	  3.44	  6.29	 1.4412	 0.5052	 0.1000	
m81611c2r4.htb	 100.0	  0.01	 2.000	 -5.00	 -10.00	 40.00	   0.0	 1.0500	  2.43	 16.0000	  0.86	  0.95	 1.060	 0.67453722	 0.273	  1.267	 16.00	  0.50	  0.5300	 0.5059	 0.11302079	 0.0285	 0.20083909	 0.2841	        NaN	  0.86	  1.58	 1.0548	 0.3323	 0.0010	
m81611c3r4.htb	 180.0	  0.01	 2.000	 -10.00	  0.00	 40.00	   0.0	 0.5000	  8.84	 16.0000	  0.69	  2.14	 1.246	 0.00001233	 0.546	  0.968	 16.00	  0.50	  1.6700	 0.9630	 0.00052024	 0.4066	 0.00000004	 0.1448	        NaN	  0.49	  8.34	 0.5000	 1.2603	 0.0010	
m81711c1r4.htb	 180.0	  0.01	 2.000	 10.00	 -10.00	 40.00	   0.0	 1.6500	 12.80	 16.0000	  2.19	  2.74	 1.077	 0.00000000	 0.615	  0.688	 16.00	  0.50	  2.6800	 0.9780	 0.00018281	 0.6066	 0.00000000	 0.2279	        NaN	  1.96	 10.84	 1.6498	 0.7985	 0.1000	
m81711c2r4.htb	 200.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 2.3200	  5.58	 16.0000	  1.03	  0.40	 1.077	 0.00065090	 0.544	  0.617	 16.00	  0.50	  4.5400	 0.8357	 0.01073011	 0.2687	 0.00002212	 0.4568	        NaN	  0.00	  5.58	 2.3174	 1.0319	 0.1000	
m81711c3r4.htb	 100.0	  0.03	 2.000	 10.00	  5.00	 40.00	   0.0	 1.7700	 11.19	 16.0000	  3.70	  4.23	 1.607	 0.00758284	 0.400	  1.203	 16.00	  0.50	  5.0500	 0.6605	 0.04933180	 0.1634	 0.00136156	 0.3143	        NaN	  0.00	 11.19	 1.7714	 1.4473	 0.1000	
m82211c3r4.htb	 175.0	  0.01	 2.000	 15.00	 -5.00	 40.00	   0.0	 1.8800	 12.74	 16.0000	  3.45	  2.29	 0.987	 0.00000088	 0.562	  0.631	 16.00	  0.50	  3.7900	 0.8993	 0.00393486	 0.4312	 0.00000001	 0.5200	        NaN	  2.43	 10.31	 1.8836	 0.9744	 0.1000	
m82311c1r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 1.0200	  7.35	 16.0000	  5.13	  5.52	 1.335	 0.33213208	 0.305	  0.563	 16.00	  0.50	  3.0800	 0.9405	 0.00135489	 0.0925	 0.01815910	 0.0448	        NaN	  4.91	  2.45	 1.0212	 1.2583	 0.0010	
m82311c2r4.htb	   0.0	  0.03	 2.000	 15.00	 -10.00	 40.00	   0.0	 1.5100	  4.52	 16.0000	  0.13	  0.50	 1.124	 0.00000004	 0.692	  0.403	 16.00	  0.50	  2.7600	 0.9681	 0.00038506	 0.6089	 0.00000000	 0.3019	        NaN	  0.00	  4.52	 1.5140	 0.8601	 0.1000	
m82311c3r4.htb	   0.0	  0.03	 2.000	 10.00	 -5.00	 40.00	   0.0	 1.2800	  5.16	 16.0000	  0.49	  1.69	 1.411	 0.00007525	 0.588	  0.619	 16.00	  0.50	  2.8200	 0.9035	 0.00361471	 0.3422	 0.00000092	 0.1855	        NaN	  0.27	  4.89	 1.2751	 1.0221	 0.0010	
