FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m120315c2r4.htbViS	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 1.7000	  0.80	 16.0000	  0.31	   NaN	   NaN	 0.63257373	 0.250	  0.483	 16.00	  0.50	  1.3700	 0.7020	 0.03730245	 0.0422	 0.11534330	 0.0110	        NaN	  0.31	  0.49	 1.6983	 0.4987	 0.0010	
m120315c2r4.htbV+L	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 2.3800	  1.04	 16.0000	  0.53	  0.25	 0.637	 0.66217970	 0.251	  0.469	 16.00	  0.50	  0.8600	 0.6399	 0.05602778	 0.0364	 0.14444078	 0.0517	        NaN	  0.53	  0.50	 2.3811	 0.2503	 0.0675	
m120315c3r4.htbViS	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 2.6800	 11.48	 16.0000	  3.57	   NaN	   NaN	 0.08674139	 0.494	  0.620	 16.00	  0.50	  1.0600	 0.8800	 0.00563098	 0.2881	 0.00268147	 0.3777	        NaN	  3.57	  7.91	 2.6841	 0.2772	 0.0010	
m120315c3r4.htbV+L	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 1.6100	  6.51	 16.0000	  2.63	  3.48	 1.283	 0.04686760	 0.466	  0.536	 16.00	  0.50	  1.6800	 0.9880	 0.00005409	 0.3765	 0.00051622	 0.0267	        NaN	  2.63	  3.89	 1.6136	 0.5757	 0.1000	
m120715c1r40.htbViS	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 1.3400	  5.52	 16.0000	  0.06	   NaN	   NaN	 0.01912082	 0.614	  0.727	 16.00	  0.50	  2.2400	 0.8840	 0.00525238	 0.4306	 0.00036798	 0.8407	        NaN	  0.00	  5.52	 1.3351	 0.8025	 0.1000	
m120715c1r40.htbV+L	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.5800	  3.68	 16.0000	  0.41	  0.40	 1.121	 0.00798877	 0.646	  0.493	 16.00	  0.50	  2.8400	 0.5424	 0.09499895	 0.3065	 0.00408945	 5.9464	        NaN	  0.00	  3.68	 0.5832	 1.5078	 0.1000	
m120715c1r42.htbViS	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 1.1800	  5.83	 16.0000	  0.12	   NaN	   NaN	 0.00007212	 0.601	  0.715	 16.00	  0.50	  2.4100	 0.9682	 0.00038411	 0.4421	 0.00000025	 0.0979	        NaN	  0.00	  5.83	 1.1763	 0.9130	 0.1000	
m120715c1r42.htbV+L	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 1.0000	  2.96	 16.0000	  0.47	  1.55	 2.094	 0.00051533	 0.558	  0.568	 16.00	  0.50	  3.6700	 0.5682	 0.08347358	 0.2262	 0.00063551	 2.4447	        NaN	  0.00	  2.96	 1.0040	 1.3994	 0.1000	
m120715c1r43.htbViS	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 1.1800	  5.27	 16.0000	  0.37	   NaN	   NaN	 0.00035428	 0.530	  0.766	 16.00	  0.50	  3.1100	 0.9473	 0.00106001	 0.3205	 0.00000243	 0.1106	        NaN	  0.00	  5.27	 1.1783	 1.1013	 0.1000	
m120715c1r43.htbV+L	  90.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.9200	  2.93	 16.0000	  0.54	  1.69	 2.363	 0.00352277	 0.489	  0.629	 16.00	  0.50	  3.7300	 0.7533	 0.02501105	 0.2047	 0.00028432	 0.7063	        NaN	  0.00	  2.93	 0.9221	 1.4972	 0.1000	
