FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m80315c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  8.21	  8.69	  7.71	 -16.75	  0.90	  0.00		  0.00		  1.13		 -0.00		
m80315c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  8.21	  8.69	  7.71	 -16.75	  0.90	  0.00		  0.00		  1.13		 -0.00		
m80315c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  8.21	  8.69	  7.71	 -16.75	  0.90	  0.00		  0.00		  1.13		 -0.00		
m80315c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.52	 10.45	  7.34	  6.33	 -16.49	  4.89	  0.00		  0.00		  1.16		  0.00		
m80315c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  8.21	  8.69	  7.71	 -16.75	  0.90	  0.00		  0.00		  1.13		 -0.00		
m80415c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.07	  0.41	 31.92	 60.51	 14.50	 30.00	  0.00		  0.00		  0.53		  0.00		
m80415c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	  1.36	 18.17	  7.44	 11.98	 -1.51	  0.00		  0.00		  2.44		 -0.00		
m80515c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.11	  1.38	  5.07	  3.67	 -14.16	  9.18	  0.00		  0.00		  1.38		  0.00		
m80515c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.13	  2.54	  3.40	  4.68	 10.66	 -4.01	  0.00		  0.00		  0.73		  0.00		
m80515c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.14	  3.16	  3.47	  4.54	  9.75	 -4.50	  0.00		  0.00		  0.76		  0.00		
m80515c2r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.28	  3.79	 12.82	  5.05	 11.44	 -14.87	  0.00		  0.00		  2.54		  0.00		
m80807c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.07	  1.60	  4.99	  3.71	  3.43	 10.19	  0.00		  0.00		  1.34		 -0.00		
m81915c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  1.16	 11.82	 21.99	  3.27	 -30.00	  0.00		  0.00		  0.54		 -0.00		
m81915c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  1.16	 11.82	 21.99	  3.27	 -30.00	  0.00		  0.00		  0.54		 -0.00		
m81915c1r11.htb	   0.0	  0.08	 2.000	  0.00	  0.00	 40.00	  2.99	 -0.77	  3.48	 72.28	 28.08	 29.99	  0.00		  0.00		  0.05		  0.00		
m82015c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.29	 -1.93	 13.01	  6.68	 29.98	 18.76	  0.00		  0.00		  1.95		  0.00		
m82515c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.15	  4.96	 13.36	 12.11	 10.59	 -14.61	  0.00		  0.00		  1.10		  0.00		
m82615c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.33	  2.31	  6.80	 17.66	 -1.98	 15.80	  0.00		  0.00		  0.38		  0.00		
m82615c2r1.htb	 320.0	  0.16	 2.000	  0.00	  0.00	 40.00	  0.14	  2.23	 16.79	  6.15	 13.07	 -2.50	  0.00		  0.00		  2.73		 -0.00		
m82615c2r1.htb	 320.0	  0.16	 2.000	  0.00	  0.00	 40.00	  0.14	  2.23	 16.79	  6.15	 13.07	 -2.50	  0.00		  0.00		  2.73		 -0.00		
m82615c2r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.66	  5.22	  8.71	  6.88	 -21.80	  4.71	  0.00		  0.00		  1.27		  0.00		
m82715c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.13	  5.81	  5.85	 10.28	 -3.62	 -14.71	  0.00		  0.00		  0.57		  0.00		
m82715c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.86	  4.31	  9.67	 13.71	 -4.54	 -15.66	  0.00		  0.00		  0.71		  0.00		
		
