FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m12115c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 11.93	 18.84	 18.81	 17.31	  1.34	 -0.53	  0.00		  0.00		  1.09		 -0.00		
m12115c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.78	 27.00	 23.20	 21.79	 -2.46	  3.48	  0.00		  0.00		  1.06		 -0.00		
m12115c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.01	 23.75	 19.78	 17.73	  1.26	 -0.43	  0.00		  0.00		  1.12		  0.00		
m12915c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.97	  2.57	 14.10	 12.99	 -1.98	 12.83	  0.00		  0.00		  1.09		  0.00		
m12915c1r9.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.96	  6.34	  7.85	 21.92	 -0.99	 19.79	  0.00		  0.00		  0.36		  0.00		
m12915c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.05	  1.78	 14.14	 16.72	 -2.59	 12.51	  0.00		  0.00		  0.85		 -0.00		
m12915c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.95	  5.07	  7.83	 11.38	  0.21	 13.70	  0.00		  0.00		  0.69		 -0.00		
m12915c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.78	  5.22	  7.21	 13.95	  0.31	 10.80	  0.00		  0.00		  0.52		  0.00		
m20215c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.13	  5.60	  7.57	 10.79	  0.73	 10.14	  0.00		  0.00		  0.70		  0.00		
m20215c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.64	  3.84	  7.72	 10.75	  1.55	 10.44	  0.00		  0.00		  0.72		  0.00		
m20215c1r22.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.64	  3.84	  7.72	 10.75	  1.55	 10.44	  0.00		  0.00		  0.72		  0.00		
