FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m70928c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.80	  9.41	 15.62	  9.84	 -0.63	  2.67	  0.00		  0.00		  1.59		 -0.00		
m80411c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.38	 15.39	 21.54	 21.14	 -2.55	  0.97	  0.00		  0.00		  1.02		 -0.00		
m80911c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.83	  1.87	 71.61	 23.05	 -30.00	  6.81	  0.00		  0.00		  3.11		 -0.00		
m81111c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.97	 11.57	  6.83	  9.89	 16.03	 -3.53	  0.00		  0.00		  0.69		  0.00		
m81111c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.19	  5.97	  9.97	 11.94	 -1.12	 -17.18	  0.00		  0.00		  0.83		  0.00		
m81111c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.97	 11.57	  6.82	  9.89	 16.04	 -3.53	  0.00		  0.00		  0.69		  0.00		
m81111c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.19	  5.97	  9.97	 11.94	 -1.12	 -17.18	  0.00		  0.00		  0.83		  0.00		
m81111c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.61	 17.46	 15.41	 10.65	 -6.88	 -14.23	  0.00		  0.00		  1.45		  0.00		
m81511c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.44	  1.73	 11.83	  8.47	  6.68	 -10.64	  0.00		  0.00		  1.40		  0.00		
m81511c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.97	  6.72	 13.30	  9.10	 13.09	 -0.37	  0.00		  0.00		  1.46		  0.00		
m81511c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.15	  2.23	 14.89	 11.70	 -2.08	  3.73	  0.00		  0.00		  1.27		  0.00		
m81611c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.03	  6.67	 14.56	 16.62	 -2.40	 -7.31	  0.00		  0.00		  0.88		 -0.00		
m81611c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.55	  4.14	 12.89	 11.72	  1.27	 -16.52	  0.00		  0.00		  1.10		  0.00		
m81711c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.40	  7.31	 12.51	 18.35	 16.44	 -8.36	  0.00		  0.00		  0.68		  0.00		
m81711c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.49	  9.05	  9.71	 14.73	 13.47	 -11.39	  0.00		  0.00		  0.66		  0.00		
m82411c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.59	  6.20	 13.79	 20.45	 -1.95	 -3.49	  0.00		  0.00		  0.67		 -0.00		
