FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m82013c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	  1.21	 13.57	 11.36	 -8.21	 10.57	  0.00		  0.00		  1.19		 -0.00		
m82013c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	  1.21	 13.57	 11.36	 -8.21	 10.57	  0.00		  0.00		  1.19		 -0.00		
m72213c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.49	  3.36	  6.60	 15.80	 18.47	 13.16	  0.00		  0.00		  0.42		  0.00		
m81413c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.60	  1.80	 12.73	  5.99	  5.34	 18.18	  0.00		  0.00		  2.12		 -0.00		
m111813c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.81	  3.88	 13.38	 14.64	 16.74	 -13.32	  0.00		  0.00		  0.91		 -0.00		
m112113c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.02	  8.21	  8.41	  7.08	 17.65	  3.07	  0.00		  0.00		  1.19		  0.00		
m20714c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.52	  3.19	 18.23	 11.52	 -16.21	 -19.18	  0.00		  0.00		  1.58		 -0.00		
m20714c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.47	  3.27	 21.53	 13.79	 -23.89	 -16.51	  0.00		  0.00		  1.56		 -0.00		
m20714c2r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.56	  3.52	 13.86	 12.71	 -18.00	 -15.40	  0.00		  0.00		  1.09		  0.00		
m21914c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.06	  1.68	 10.94	  6.66	 -3.82	  3.26	  0.00		  0.00		  1.64		 -0.00		
m21914c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.06	  1.68	 10.94	  6.66	 -3.82	  3.26	  0.00		  0.00		  1.64		 -0.00		
