FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m70108c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  4.58	 -8.51	 102.70	 13.10	 12.31	 25.86	  0.00		  0.00		 7.842	
m70110c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.09	  0.84	 21.53	 22.97	 -2.91	 -4.11	  0.00		  0.00		 0.938	
m70110c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.97	  2.57	 22.69	 27.65	 10.30	 -17.06	  0.00		  0.00		 0.821	
m70110c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.43	  3.56	 51.44	 49.47	 11.28	 -13.68	  0.00		  0.00		 1.040	
m70112c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.02	  0.46	 42.93	  6.00	 15.07	 29.78	  0.00		  0.00		 7.154	
m70116c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.10	  9.45	 45.35	 26.21	  5.56	  1.60	  0.00		  0.00		 1.730	
m70117c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.43	  1.72	 72.42	 57.01	 11.21	 -7.23	  0.00		  0.00		 1.270	
m70117c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.61	 -2.92	 17.42	 16.71	  3.56	 21.13	  0.00		  0.00		 1.042	
m70117c3r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	 19.92	 -4.87	 82.97	 14.41	 30.00	 23.18	  0.00		  0.00		 5.756	
m70118c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.00	  4.68	 64.70	 37.67	 -2.03	  2.91	  0.00		  0.00		 1.717	
m70118c2r1.htb	 180.0	  0.05	 2.000	  0.00	  0.00	 40.00	  1.33	 -0.43	  9.55	  6.10	 -29.90	 -28.63	  0.00		  0.00		 1.565	
m70122c1r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  6.82	  0.96	  9.59	 26.32	 -29.99	 -28.92	  0.00		  0.00		 0.364	
m70123c1r1.htb	   0.0	  0.03	 4.000	  0.00	  0.00	 40.00	  2.51	  2.90	 30.75	 14.66	  7.03	 -21.12	  0.00		  0.00		 2.098	
m70123c2r1.htb	 180.0	  0.03	 4.000	  0.00	  0.00	 40.00	  4.10	  8.69	 35.11	 35.48	  9.15	 -30.00	  0.00		  0.00		 0.990	
m70123c3r1.htb	 150.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.62	 -0.43	  6.00	 14.70	 29.96	 29.83	  0.00		  0.00		 0.408	
m70124c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.52	 -1.42	 19.43	  6.00	 -26.35	 -30.00	  0.00		  0.00		 3.238	
m70124c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.00	 -4.55	 203.21	 14.12	 30.00	 20.22	  0.00		  0.00		 14.390	
m70124c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.98	 -3.47	 62.34	 14.74	 30.00	 21.93	  0.00		  0.00		 4.230	
m70124c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.73	 -4.46	 111.05	 10.95	  4.36	 21.47	  0.00		  0.00		 10.142	
m70125c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.00	  5.96	 102.70	 45.13	  3.17	  6.11	  0.00		  0.00		 2.276	
m70125c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.76	  3.33	 17.28	 16.48	 -2.66	 -1.74	  0.00		  0.00		 1.049	
m70125c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.97	  6.04	 35.96	 25.21	 -4.32	 -3.34	  0.00		  0.00		 1.426	
m70125c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 22.22	 -7.12	 105.12	 14.96	 17.84	 24.00	  0.00		  0.00		 7.027	
m70126c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.59	 -0.08	 22.84	 22.33	 30.00	 29.98	  0.00		  0.00		 1.023	
m70126c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.30	  7.15	 93.77	 59.04	 26.78	 -8.17	  0.00		  0.00		 1.588	
m70126c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.71	  5.15	 58.17	 51.66	 20.86	 -16.43	  0.00		  0.00		 1.126	
m70126c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.06	 -4.25	 185.74	 10.30	 -30.00	 21.82	  0.00		  0.00		 18.026	
